comparison,family,metric,n_qids,mean_difference,percentile_ci_low,percentile_ci_high,primary_test,raw_p,holm_family,holm_adjusted_p,effect_size_name,effect_size,sensitivity_wilcoxon_p,conclusion
D3_ROBERTA_vs_B0,PRIMARY,faithfulness,60,-0.016667,-0.1,0.066667,exact_sign_test,1.0,PRIMARY,1.0,cohens_dz,-0.048444,0.735317,not_significant
D3_ROBERTA_vs_B0,PRIMARY,demand_completeness,60,0.033333,-0.033333,0.1,exact_sign_test,0.625,PRIMARY,1.0,cohens_dz,0.129099,0.36131,not_significant
D3_ROBERTA_vs_B0,PRIMARY,overall_utility,60,0.033333,-0.050417,0.133333,exact_sign_test,0.726562,PRIMARY,1.0,cohens_dz,0.090903,0.528612,not_significant
D3_ROBERTA_vs_B0,PRIMARY,unsupported_claim,60,0.05,-0.016667,0.133333,mcnemar_exact,0.375,PRIMARY,1.0,paired_proportion_diff,0.05,,not_significant
D3_ROBERTA_vs_B0,PRIMARY,critical_risk_omission,60,0.016667,-0.033333,0.066667,mcnemar_exact,1.0,PRIMARY,1.0,paired_proportion_diff,0.016667,,not_significant
D0_vs_B0,DIAGNOSTIC,faithfulness,60,0.016667,-0.05,0.083333,exact_sign_test,1.0,DIAGNOSTIC,1.0,cohens_dz,0.057348,0.68583,not_significant
D0_vs_B0,DIAGNOSTIC,demand_completeness,60,-0.016667,-0.083333,0.05,exact_sign_test,1.0,DIAGNOSTIC,1.0,cohens_dz,-0.057348,0.68583,not_significant
D0_vs_B0,DIAGNOSTIC,overall_utility,60,0.033333,-0.05,0.116667,exact_sign_test,0.6875,DIAGNOSTIC,1.0,cohens_dz,0.105113,0.463071,not_significant
D0_vs_B0,DIAGNOSTIC,unsupported_claim,60,0.0,-0.05,0.05,mcnemar_exact,1.0,DIAGNOSTIC,1.0,paired_proportion_diff,0.0,,not_significant
D0_vs_B0,DIAGNOSTIC,critical_risk_omission,60,0.0,0.0,0.0,mcnemar_exact,1.0,DIAGNOSTIC,1.0,paired_proportion_diff,0.0,,not_significant
D3_TFIDF_vs_B0,DIAGNOSTIC,faithfulness,60,0.05,-0.016667,0.116667,exact_sign_test,0.375,DIAGNOSTIC,1.0,cohens_dz,0.174391,0.224916,not_significant
D3_TFIDF_vs_B0,DIAGNOSTIC,demand_completeness,60,0.05,0.0,0.116667,exact_sign_test,0.25,DIAGNOSTIC,1.0,cohens_dz,0.227496,0.108809,not_significant
D3_TFIDF_vs_B0,DIAGNOSTIC,overall_utility,60,0.116667,0.033333,0.216667,exact_sign_test,0.039062,DIAGNOSTIC,0.78124,cohens_dz,0.313262,0.038152,not_significant
D3_TFIDF_vs_B0,DIAGNOSTIC,unsupported_claim,60,0.0,-0.05,0.05,mcnemar_exact,1.0,DIAGNOSTIC,1.0,paired_proportion_diff,0.0,,not_significant
D3_TFIDF_vs_B0,DIAGNOSTIC,critical_risk_omission,60,-0.016667,-0.05,0.0,mcnemar_exact,1.0,DIAGNOSTIC,1.0,paired_proportion_diff,-0.016667,,not_significant
D3_ROBERTA_vs_D3_TFIDF,DIAGNOSTIC,faithfulness,60,-0.066667,-0.133333,-0.016667,exact_sign_test,0.125,DIAGNOSTIC,1.0,cohens_dz,-0.265025,0.067889,not_significant
D3_ROBERTA_vs_D3_TFIDF,DIAGNOSTIC,demand_completeness,60,-0.016667,-0.083333,0.05,exact_sign_test,1.0,DIAGNOSTIC,1.0,cohens_dz,-0.057348,0.68583,not_significant
D3_ROBERTA_vs_D3_TFIDF,DIAGNOSTIC,overall_utility,60,-0.083333,-0.166667,-0.016667,exact_sign_test,0.0625,DIAGNOSTIC,1.0,cohens_dz,-0.298988,0.043114,not_significant
D3_ROBERTA_vs_D3_TFIDF,DIAGNOSTIC,unsupported_claim,60,0.05,0.0,0.116667,mcnemar_exact,0.25,DIAGNOSTIC,1.0,paired_proportion_diff,0.05,,not_significant
D3_ROBERTA_vs_D3_TFIDF,DIAGNOSTIC,critical_risk_omission,60,0.033333,0.0,0.083333,mcnemar_exact,0.5,DIAGNOSTIC,1.0,paired_proportion_diff,0.033333,,not_significant
D0_vs_D3_ROBERTA,DIAGNOSTIC,faithfulness,60,0.033333,-0.05,0.116667,exact_sign_test,0.6875,DIAGNOSTIC,1.0,cohens_dz,0.105113,0.463071,not_significant
D0_vs_D3_ROBERTA,DIAGNOSTIC,demand_completeness,60,-0.05,-0.133333,0.016667,exact_sign_test,0.375,DIAGNOSTIC,1.0,cohens_dz,-0.174391,0.224916,not_significant
D0_vs_D3_ROBERTA,DIAGNOSTIC,overall_utility,60,0.0,-0.1,0.083333,exact_sign_test,1.0,DIAGNOSTIC,1.0,cohens_dz,0.0,1.0,not_significant
D0_vs_D3_ROBERTA,DIAGNOSTIC,unsupported_claim,60,-0.05,-0.116667,0.0,mcnemar_exact,0.25,DIAGNOSTIC,1.0,paired_proportion_diff,-0.05,,not_significant
D0_vs_D3_ROBERTA,DIAGNOSTIC,critical_risk_omission,60,-0.016667,-0.066667,0.033333,mcnemar_exact,1.0,DIAGNOSTIC,1.0,paired_proportion_diff,-0.016667,,not_significant
