scenario,leak_rate,seed,demand_cov
joint,0.0,0,0.8745
joint,0.0,1,0.8745
joint,0.0,2,0.8745
joint,0.0,3,0.8745
joint,0.0,4,0.8745
joint,0.0,5,0.8745
joint,0.0,6,0.8745
joint,0.0,7,0.8745
joint,0.0,8,0.8745
joint,0.0,9,0.8745
joint,0.0,10,0.8745
joint,0.0,11,0.8745
joint,0.0,12,0.8745
joint,0.0,13,0.8745
joint,0.0,14,0.8745
joint,0.0,15,0.8745
joint,0.0,16,0.8745
joint,0.0,17,0.8745
joint,0.0,18,0.8745
joint,0.0,19,0.8745
joint,0.0,20,0.8745
joint,0.0,21,0.8745
joint,0.0,22,0.8745
joint,0.0,23,0.8745
joint,0.0,24,0.8745
joint,0.0,25,0.8745
joint,0.0,26,0.8745
joint,0.0,27,0.8745
joint,0.0,28,0.8745
joint,0.0,29,0.8745
joint,0.0,30,0.8745
joint,0.0,31,0.8745
joint,0.0,32,0.8745
joint,0.0,33,0.8745
joint,0.0,34,0.8745
joint,0.0,35,0.8745
joint,0.0,36,0.8745
joint,0.0,37,0.8745
joint,0.0,38,0.8745
joint,0.0,39,0.8745
joint,0.0,40,0.8745
joint,0.0,41,0.8745
joint,0.0,42,0.8745
joint,0.0,43,0.8745
joint,0.0,44,0.8745
joint,0.0,45,0.8745
joint,0.0,46,0.8745
joint,0.0,47,0.8745
joint,0.0,48,0.8745
joint,0.0,49,0.8745
joint,0.05,0,0.8769
joint,0.05,1,0.8716
joint,0.05,2,0.8687
joint,0.05,3,0.8703
joint,0.05,4,0.8784
joint,0.05,5,0.8770
joint,0.05,6,0.8757
joint,0.05,7,0.8733
joint,0.05,8,0.8697
joint,0.05,9,0.8726
joint,0.05,10,0.8697
joint,0.05,11,0.8775
joint,0.05,12,0.8757
joint,0.05,13,0.8753
joint,0.05,14,0.8757
joint,0.05,15,0.8741
joint,0.05,16,0.8699
joint,0.05,17,0.8743
joint,0.05,18,0.8695
joint,0.05,19,0.8681
joint,0.05,20,0.8741
joint,0.05,21,0.8692
joint,0.05,22,0.8730
joint,0.05,23,0.8707
joint,0.05,24,0.8679
joint,0.05,25,0.8716
joint,0.05,26,0.8734
joint,0.05,27,0.8707
joint,0.05,28,0.8753
joint,0.05,29,0.8703
