scenario,leak_rate,seed_count,mean_demand_cov,std_demand_cov,ci95_low,ci95_high,mean_ndcg
joint,0.0,50,0.8745,0.0000,0.8745,0.8745,0.0
joint,0.05,50,0.8735,0.0030,0.8682,0.8791,0.0
joint,0.1,50,0.8729,0.0043,0.8641,0.8807,0.0
joint,0.25,50,0.8765,0.0057,0.8635,0.8873,0.0
joint,0.5,50,0.8848,0.0073,0.8660,0.8972,0.0
joint,0.75,50,0.9052,0.0065,0.8922,0.9151,0.0
joint,1.0,50,0.9398,0.0000,0.9398,0.9398,0.0
query_only,0.0,50,0.8745,0.0000,0.8745,0.8745,0.0
query_only,0.05,50,0.8743,0.0007,0.8728,0.8745,0.0
query_only,0.1,50,0.8740,0.0010,0.8714,0.8757,0.0
query_only,0.25,50,0.8735,0.0014,0.8708,0.8757,0.0
query_only,0.5,50,0.8728,0.0016,0.8700,0.8757,0.0
query_only,0.75,50,0.8712,0.0014,0.8689,0.8741,0.0
query_only,1.0,50,0.8702,0.0000,0.8702,0.8702,0.0
evidence_only,0.0,50,0.8745,0.0000,0.8745,0.8745,0.0
evidence_only,0.05,50,0.8740,0.0039,0.8662,0.8806,0.0
evidence_only,0.1,50,0.8739,0.0047,0.8660,0.8827,0.0
evidence_only,0.25,50,0.8758,0.0050,0.8666,0.8863,0.0
evidence_only,0.5,50,0.8782,0.0075,0.8639,0.8901,0.0
evidence_only,0.75,50,0.8870,0.0079,0.8712,0.8992,0.0
evidence_only,1.0,50,0.9219,0.0000,0.9219,0.9219,0.0
