split,method,demand_cov,ndcg
formal_train,B0,0.8762,0.6413
formal_train,D0,0.9398,0.6012
formal_train,D1,0.9219,0.6065
formal_train,D2,0.8702,0.6319
formal_train,D3,0.8745,0.6293
internal_blind,B0,0.9183,0.5338
internal_blind,D0,0.9819,0.4988
internal_blind,D1,0.9537,0.5094
internal_blind,D2,0.9282,0.5109
internal_blind,D3,0.9216,0.5075
cmedqa2_external,B0,0.9630,0.5166
cmedqa2_external,D0,0.9859,0.4849
cmedqa2_external,D1,0.9836,0.4961
cmedqa2_external,D2,0.9765,0.5074
cmedqa2_external,D3,0.9730,0.4954
