split,method_a,method_b,diff,p_value,ci95_low,ci95_high
formal_train,D0,B0,0.0636,0.0002,0.0445,0.0845
formal_train,D1,B0,0.0457,0.0002,0.029,0.0639
formal_train,D2,B0,-0.0061,0.49975,-0.0248,0.0095
formal_train,D3,B0,-0.0017,0.887911,-0.0207,0.0139
internal_blind,D0,B0,0.0637,0.0002,0.0418,0.088
internal_blind,D1,B0,0.0354,0.0002,0.0184,0.0549
internal_blind,D2,B0,0.01,0.154385,-0.0036,0.0243
internal_blind,D3,B0,0.0033,0.671533,-0.0125,0.0192
cmedqa2_external,D0,B0,0.0229,0.0016,0.007,0.0434
cmedqa2_external,D1,B0,0.0205,0.004,0.0053,0.0411
cmedqa2_external,D2,B0,0.0135,0.108589,-0.0018,0.0335
cmedqa2_external,D3,B0,0.01,0.326367,-0.007,0.0311
