split,method,n_qid,demand_cov_expected,demand_cov_actual,ndcg_expected,ndcg_actual,dc_diff,ndcg_diff,pass
formal_train,B0,200,0.87620000,0.87625000,0.64130000,0.64129537,0.00005000,-0.00000463,True
formal_train,D0,200,0.93980000,0.93983333,0.60120000,0.60117605,0.00003333,-0.00002395,True
formal_train,D1,200,0.92190000,0.92191667,0.60650000,0.60648993,0.00001667,-0.00001007,True
formal_train,D2,200,0.87020000,0.87016667,0.63190000,0.63194051,-0.00003333,0.00004051,True
formal_train,D3,200,0.87450000,0.87450000,0.62930000,0.62930161,-2.220446049250313e-16,0.00000161,True
internal_blind,B0,200,0.91830000,0.91825000,0.53380000,0.53384659,-0.00005000,0.00004659,True
internal_blind,D0,200,0.98190000,0.98191667,0.49880000,0.49881433,0.00001667,0.00001433,True
internal_blind,D1,200,0.95370000,0.95366667,0.50940000,0.50944678,-0.00003333,0.00004678,True
internal_blind,D2,200,0.92820000,0.92825000,0.51090000,0.51092204,0.00005000,0.00002204,True
internal_blind,D3,200,0.92160000,0.92158333,0.50750000,0.50747247,-0.00001667,-0.00002753,True
cmedqa2_external,B0,142,0.96300000,0.96302817,0.51660000,0.51658022,0.00002817,-0.00001978,True
cmedqa2_external,D0,142,0.98590000,0.98591549,0.48490000,0.48485928,0.00001549,-0.00004072,True
cmedqa2_external,D1,142,0.98360000,0.98356808,0.49610000,0.49607465,-0.00003192,-0.00002535,True
cmedqa2_external,D2,142,0.97650000,0.97652582,0.50740000,0.50741194,0.00002582,0.00001194,True
cmedqa2_external,D3,142,0.97300000,0.97300469,0.49540000,0.49543721,0.00000469,0.00003721,True
