qid,top5_jaccard,same_top5_set,intersection_count,replacement_count,b0_unique_demand_count,d0_unique_demand_count,delta_unique_demand_count,b0_mean_relevance,d0_mean_relevance,b0_mean_reranker_score,d0_mean_reranker_score,b0_intra_similarity,d0_intra_similarity,new_docs_demands,replaced_docs_demands,b0_cov_D01_symptom_course,d0_cov_D01_symptom_course,b0_cov_D02_cause_diagnosis,d0_cov_D02_cause_diagnosis,b0_cov_D03_treatment_medication,d0_cov_D03_treatment_medication,b0_cov_D04_population_history,d0_cov_D04_population_history,b0_cov_D05_care_emergency,d0_cov_D05_care_emergency,b0_cov_D06_mental_safety,d0_cov_D06_mental_safety
10010888,1.0,yes,5,0,3,3,0,2.0,2.0,0.9996,0.9996,0.4827,0.4827,,,1,1,0,0,1,1,1,1,0,0,0,0
10023852,0.6667,no,4,1,3,3,0,1.6,1.4,0.452,0.4451,0.0924,0.0968,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,D02_cause_diagnosis|D03_treatment_medication,1,1,1,1,1,1,0,0,0,0,0,0
12598613,1.0,yes,5,0,4,4,0,1.8,1.8,0.959,0.959,0.2681,0.2681,,,1,1,1,1,1,1,0,0,1,1,0,0
12778360,0.4286,no,3,2,5,4,-1,2.6,1.2,0.9957,0.967,0.7562,0.7252,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,D01_symptom_course|D05_care_emergency,1,1,1,1,1,1,1,0,1,1,0,0
12880872,0.6667,no,4,1,2,2,0,1.0,1.2,0.9183,0.9121,0.2482,0.2412,D03_treatment_medication,D01_symptom_course|D03_treatment_medication,1,1,0,0,1,1,0,0,0,0,0,0
13001321,1.0,yes,5,0,4,4,0,0.8,0.8,0.3092,0.3092,0.6114,0.6114,,,1,1,1,1,1,1,0,0,0,0,1,1
13611032,0.4286,no,3,2,3,5,2,2.6,3.4,0.9937,0.9652,0.8397,0.8021,D01_symptom_course|D03_treatment_medication,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,1,1,1,1,1,1,0,1,0,1,0,0
13618490,1.0,yes,5,0,2,2,0,2.0,2.0,0.9878,0.9878,0.4987,0.4987,,,1,1,0,0,1,1,0,0,0,0,0,0
13713005,0.6667,no,4,1,4,4,0,1.8,1.6,0.7501,0.6953,0.4989,0.4999,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D05_care_emergency,D01_symptom_course|D02_cause_diagnosis|D04_population_history,1,1,1,1,1,1,0,1,1,0,0,0
14537820,1.0,yes,5,0,4,4,0,1.8,1.8,0.9406,0.9406,0.4322,0.4322,,,1,1,1,1,1,1,1,1,0,0,0,0
15075207,0.6667,no,4,1,4,4,0,2.2,1.6,0.9985,0.9792,0.7673,0.7423,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,,1,1,1,1,1,1,1,1,0,0,0,0
