metric,B0,D0,difference,diff_ci_low,diff_ci_high
平均唯一需求类别数,3.6667,3.8167,0.15,0.05,0.2667
平均relevance,2.22,2.0667,-0.1533,-0.2633,-0.05
平均reranker_score,0.8824,0.8666,-0.0158,-0.0207,-0.0114
平均内部冗余,0.271,0.2529,-0.0181,-0.0392,0.0019
D01_symptom_course覆盖率,0.9167,0.9667,0.05,,
D02_cause_diagnosis覆盖率,0.7667,0.7667,0.0,,
D03_treatment_medication覆盖率,0.9,0.9,0.0,,
D04_population_history覆盖率,0.45,0.4833,0.0333,,
D05_care_emergency覆盖率,0.6,0.6667,0.0667,,
D06_mental_safety覆盖率,0.0333,0.0333,0.0,,
平均替换文档数,,1.15,,,
Top-5完全相同qid比例,0.2333,,,,
平均Jaccard,,0.6562,,,
