scenario,leak_rate,seed,demand_cov,ndcg_10
joint,0,0,0.8745,0.6293
joint,0,1,0.8745,0.6293
joint,0,2,0.8745,0.6293
joint,0,3,0.8745,0.6293
joint,0,4,0.8745,0.6293
joint,0,5,0.8745,0.6293
joint,0,6,0.8745,0.6293
joint,0,7,0.8745,0.6293
joint,0,8,0.8745,0.6293
joint,0,9,0.8745,0.6293
joint,0,10,0.8745,0.6293
joint,0,11,0.8745,0.6293
joint,0,12,0.8745,0.6293
joint,0,13,0.8745,0.6293
joint,0,14,0.8745,0.6293
joint,0,15,0.8745,0.6293
joint,0,16,0.8745,0.6293
joint,0,17,0.8745,0.6293
joint,0,18,0.8745,0.6293
joint,0,19,0.8745,0.6293
joint,0,20,0.8745,0.6293
joint,0,21,0.8745,0.6293
joint,0,22,0.8745,0.6293
joint,0,23,0.8745,0.6293
joint,0,24,0.8745,0.6293
joint,0,25,0.8745,0.6293
joint,0,26,0.8745,0.6293
joint,0,27,0.8745,0.6293
joint,0,28,0.8745,0.6293
joint,0,29,0.8745,0.6293
joint,0,30,0.8745,0.6293
joint,0,31,0.8745,0.6293
joint,0,32,0.8745,0.6293
joint,0,33,0.8745,0.6293
joint,0,34,0.8745,0.6293
joint,0,35,0.8745,0.6293
joint,0,36,0.8745,0.6293
joint,0,37,0.8745,0.6293
joint,0,38,0.8745,0.6293
joint,0,39,0.8745,0.6293
joint,0,40,0.8745,0.6293
joint,0,41,0.8745,0.6293
joint,0,42,0.8745,0.6293
joint,0,43,0.8745,0.6293
joint,0,44,0.8745,0.6293
joint,0,45,0.8745,0.6293
joint,0,46,0.8745,0.6293
joint,0,47,0.8745,0.6293
joint,0,48,0.8745,0.6293
joint,0,49,0.8745,0.6293
joint,0.05,0,0.8769,0.6364
joint,0.05,1,0.8716,0.6281
joint,0.05,2,0.8687,0.6231
joint,0.05,3,0.8703,0.6267
joint,0.05,4,0.8784,0.6294
joint,0.05,5,0.8770,0.6283
joint,0.05,6,0.8757,0.6298
joint,0.05,7,0.8733,0.6266
joint,0.05,8,0.8697,0.6267
joint,0.05,9,0.8726,0.6265
joint,0.05,10,0.8697,0.6281
joint,0.05,11,0.8775,0.6296
joint,0.05,12,0.8757,0.6316
joint,0.05,13,0.8753,0.6307
joint,0.05,14,0.8757,0.6279
joint,0.05,15,0.8741,0.6285
joint,0.05,16,0.8699,0.6242
joint,0.05,17,0.8743,0.6296
joint,0.05,18,0.8695,0.6322
joint,0.05,19,0.8681,0.6266
joint,0.05,20,0.8741,0.6311
joint,0.05,21,0.8692,0.6281
joint,0.05,22,0.8730,0.6249
joint,0.05,23,0.8707,0.6290
joint,0.05,24,0.8679,0.6253
joint,0.05,25,0.8716,0.6266
