scenario,leak_rate,seed_count,mean_demand_cov,sd_demand_cov,p2_5_demand_cov,p97_5_demand_cov,min_demand_cov,max_demand_cov,mean_ndcg,sd_ndcg,p2_5_ndcg,p97_5_ndcg,min_ndcg,max_ndcg
joint,0,50,0.8745,0.000000,0.8745,0.8745,0.8745,0.8745,0.6293,0.000000,0.6293,0.6293,0.6293,0.6293
joint,0.05,50,0.8735,0.003007,0.8682,0.8791,0.8679,0.8792,0.6286,0.002308,0.6244,0.6334,0.6231,0.6364
joint,0.1,50,0.8729,0.004365,0.8641,0.8807,0.8627,0.8822,0.6274,0.002521,0.6229,0.6311,0.6216,0.6322
joint,0.25,50,0.8765,0.005785,0.8635,0.8873,0.8625,0.8878,0.6208,0.003382,0.6144,0.6269,0.6095,0.6277
joint,0.5,50,0.8848,0.007424,0.8660,0.8972,0.8637,0.8990,0.6098,0.004304,0.6036,0.6166,0.5988,0.6228
joint,0.75,50,0.9052,0.006588,0.8922,0.9151,0.8876,0.9153,0.6012,0.004123,0.5940,0.6077,0.5906,0.6084
joint,1,50,0.9398,0.000000,0.9398,0.9398,0.9398,0.9398,0.6012,0.000000,0.6012,0.6012,0.6012,0.6012
query_only,0,50,0.8745,0.000000,0.8745,0.8745,0.8745,0.8745,0.6293,0.000000,0.6293,0.6293,0.6293,0.6293
query_only,0.05,50,0.8743,0.000668,0.8728,0.8745,0.8718,0.8757,0.6294,0.000749,0.6279,0.6309,0.6279,0.6312
query_only,0.1,50,0.8740,0.001045,0.8714,0.8757,0.8712,0.8757,0.6295,0.001186,0.6274,0.6320,0.6273,0.6327
query_only,0.25,50,0.8735,0.001400,0.8708,0.8757,0.8689,0.8757,0.6300,0.001651,0.6271,0.6328,0.6266,0.6337
query_only,0.5,50,0.8728,0.001634,0.8700,0.8757,0.8689,0.8757,0.6313,0.001817,0.6272,0.6344,0.6269,0.6355
query_only,0.75,50,0.8712,0.001365,0.8689,0.8741,0.8689,0.8745,0.6311,0.001562,0.6277,0.6337,0.6269,0.6352
query_only,1,50,0.8702,0.000000,0.8702,0.8702,0.8702,0.8702,0.6319,0.000000,0.6319,0.6319,0.6319,0.6319
evidence_only,0,50,0.8745,0.000000,0.8745,0.8745,0.8745,0.8745,0.6293,0.000000,0.6293,0.6293,0.6293,0.6293
evidence_only,0.05,50,0.8740,0.003901,0.8662,0.8806,0.8628,0.8807,0.6283,0.001631,0.6256,0.6313,0.6249,0.6314
evidence_only,0.1,50,0.8739,0.004781,0.8660,0.8827,0.8657,0.8839,0.6266,0.002438,0.6218,0.6316,0.6215,0.6319
evidence_only,0.25,50,0.8758,0.005075,0.8666,0.8863,0.8640,0.8871,0.6204,0.003543,0.6136,0.6274,0.6134,0.6289
evidence_only,0.5,50,0.8782,0.007589,0.8639,0.8901,0.8624,0.8978,0.6093,0.004046,0.6026,0.6182,0.5993,0.6205
evidence_only,0.75,50,0.8870,0.008018,0.8712,0.8992,0.8697,0.9028,0.6019,0.004590,0.5943,0.6105,0.5915,0.6132
evidence_only,1,50,0.9219,0.000000,0.9219,0.9219,0.9219,0.9219,0.6065,0.000000,0.6065,0.6065,0.6065,0.6065
