family_id,split,metric,method_a,method_b,n_qid,mean_a,mean_b,mean_difference,ci_low,ci_high,p_raw,positive_qid,negative_qid,tied_qid,p_holm,significant_raw,significant_holm
PRIMARY_DC,formal_train,demand_cov,MMR,B0,200,0.87675000,0.87625000,0.00050000,-0.02275208,0.02241667,0.94870513,15,10,175,1.00000000,NO,NO
PRIMARY_DC,internal_blind,demand_cov,MMR,B0,200,0.93100000,0.91825000,0.01275000,-0.00308333,0.02983333,0.12178782,11,5,184,0.36536346,NO,NO
PRIMARY_DC,cmedqa2_external,demand_cov,MMR,B0,142,0.95892019,0.96302817,-0.00410798,-0.01819249,0.00880282,0.58794121,2,3,137,1.00000000,NO,NO
PRIMARY_NDCG,formal_train,ndcg_10,MMR,B0,200,0.62938052,0.64129538,-0.01191485,-0.02377808,-0.00005036,0.04899510,21,35,144,0.07959204,YES,NO
PRIMARY_NDCG,internal_blind,ndcg_10,MMR,B0,200,0.51801723,0.53384659,-0.01582936,-0.03149205,-0.00077556,0.03979602,50,70,80,0.07959204,YES,NO
PRIMARY_NDCG,cmedqa2_external,ndcg_10,MMR,B0,142,0.50112287,0.51658022,-0.01545735,-0.02577758,-0.00546484,0.00219978,31,48,63,0.00659934,YES,YES
DIAGNOSTIC_DC,formal_train,demand_cov,MMR,D3_TFIDF,200,0.87675000,0.87450000,0.00225000,-0.02075000,0.02575000,0.84871513,13,11,176,0.84871513,NO,NO
DIAGNOSTIC_DC,internal_blind,demand_cov,MMR,D3_TFIDF,200,0.93100000,0.92158333,0.00941667,-0.00891667,0.02916667,0.32796720,12,9,179,0.65593441,NO,NO
DIAGNOSTIC_DC,cmedqa2_external,demand_cov,MMR,D3_TFIDF,142,0.95892019,0.97300469,-0.01408451,-0.03638498,0.00469484,0.16918308,2,5,135,0.50754925,NO,NO
DIAGNOSTIC_NDCG,formal_train,ndcg_10,MMR,D3_TFIDF,200,0.62938052,0.62930161,0.00007891,-0.01287521,0.01360313,0.98630137,30,38,132,1.00000000,NO,NO
DIAGNOSTIC_NDCG,internal_blind,ndcg_10,MMR,D3_TFIDF,200,0.51801723,0.50747247,0.01054476,-0.00761654,0.02881678,0.25937406,84,58,58,0.77812219,NO,NO
DIAGNOSTIC_NDCG,cmedqa2_external,ndcg_10,MMR,D3_TFIDF,142,0.50112287,0.49543721,0.00568566,-0.01401750,0.02489228,0.54494551,53,36,53,1.00000000,NO,NO
SUPPLEMENTARY,formal_train,demand_cov,D3_TFIDF,B0,200,0.87450000,0.87625000,-0.00175000,-0.02041667,0.01450000,0.87991201,9,5,186,1.00000000,NO,NO
SUPPLEMENTARY,formal_train,ndcg_10,D3_TFIDF,B0,200,0.62930161,0.64129538,-0.01199377,-0.02110889,-0.00371524,0.00439956,15,23,162,0.02199780,YES,YES
SUPPLEMENTARY,internal_blind,demand_cov,D3_TFIDF,B0,200,0.92158333,0.91825000,0.00333333,-0.01266875,0.01950000,0.65993401,12,9,179,1.00000000,NO,NO
SUPPLEMENTARY,internal_blind,ndcg_10,D3_TFIDF,B0,200,0.50747247,0.53384659,-0.02637412,-0.04382381,-0.00939749,0.00339966,55,74,71,0.02039796,YES,YES
SUPPLEMENTARY,cmedqa2_external,demand_cov,D3_TFIDF,B0,142,0.97300469,0.96302817,0.00997653,-0.00704225,0.03110329,0.30916908,4,2,136,0.92750725,NO,NO
SUPPLEMENTARY,cmedqa2_external,ndcg_10,D3_TFIDF,B0,142,0.49543721,0.51658022,-0.02114301,-0.04052694,-0.00135186,0.03619638,35,51,56,0.14478552,YES,NO
