split,qid,method,k,lambda,selected_doc_ids,selected_scores,demand_cov,ndcg_10,unique_demand_count,mean_gold_relevance,mean_reranker_score,mean_pairwise_similarity,redundancy,jaccard_vs_b0,replacement_count_vs_b0
formal_train,1000761,B0,5,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3|145755|WMA_72029596e107c171,0.93388689;0.89152044;0.87914884;0.86809450;0.83560002,1.00000000,0.64893158,2,2.00000000,0.88165014,0.28591464,1.00000000,1.00000000,0
formal_train,1000761,MMR,5,0.60000000,WMA_b703a00296735980|108852|WMA_76cf52bc0179748c|WMA_72029596e107c171|WMA_fe57955f592e96c5,0.93388689;0.89152044;0.83560002;0.79452127;0.74874121,1.00000000,0.64893158,2,2.00000000,0.84085397,0.06813638,1.00000000,0.42857143,2
formal_train,1000761,D3_TFIDF,5,,WMA_76cf52bc0179748c|WMA_b703a00296735980|WMA_fa04e7ef7fa8e6d3|108852|145755,0.93388689;0.89152044;0.87914884;0.86809450;0.79452127,1.00000000,0.64893158,2,2.00000000,0.87343439,0.25249980,1.00000000,0.66666667,1
formal_train,10010888,B0,5,,WMA_ac9c95d776198a70|WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_d62abdf149c552b3|56547,0.99986601;0.99985695;0.99972898;0.99961829;0.99910849,1.00000000,0.64893158,3,2.00000000,0.99963574,0.11412846,0.68333333,1.00000000,0
formal_train,10010888,MMR,5,0.60000000,WMA_ac9c95d776198a70|56547|WMA_5999899a94dbb80a|WMA_728aed79d4faf8dd|WMA_488b25f9c874afd8,0.99986601;0.99985695;0.99972898;0.99910849;0.99875247,1.00000000,0.64893158,3,2.00000000,0.99946258,0.12286407,0.68333333,0.66666667,1
formal_train,10010888,D3_TFIDF,5,,WMA_d62abdf149c552b3|WMA_ac9c95d776198a70|WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c85c54d90ab5f,0.99986601;0.99985695;0.99972898;0.99961829;0.91783649,1.00000000,0.64893158,3,2.00000000,0.98338134,0.17331216,0.68333333,0.66666667,1
formal_train,10010890,B0,5,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_ad96a88167926acb,0.99976319;0.99813879;0.99471647;0.99294454;0.99172509,1.00000000,0.56378846,1,1.60000000,0.99545761,0.09135048,0.60000000,1.00000000,0
formal_train,10010890,MMR,5,0.60000000,WMA_9d066002776c079d|171903|WMA_ad96a88167926acb|WMA_351982b9ac0e4acc|WMA_cb67dd87f7d9b3a3,0.99976319;0.99813879;0.99471647;0.99294454;0.99172509,1.00000000,0.53888569,1,1.60000000,0.99545761,0.09135048,0.60000000,1.00000000,0
formal_train,10010890,D3_TFIDF,5,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_ad96a88167926acb,0.99976319;0.99813879;0.99471647;0.99294454;0.99172509,1.00000000,0.56378846,1,1.60000000,0.99545761,0.09135048,0.60000000,1.00000000,0
formal_train,10031096,B0,5,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9,0.99859744;0.99628508;0.97316223;0.96934611;0.96808404,1.00000000,0.64893158,2,2.00000000,0.98109498,0.13736978,1.00000000,1.00000000,0
formal_train,10031096,MMR,5,0.60000000,WMA_11853d561b187e4c|WMA_6eec4f05a9d5c728|WMA_32ecb186b65aa370|WMA_e620ebd66f6e77b9|WMA_e3edd4fee929e77d,0.99859744;0.99628508;0.97316223;0.96808404;0.92915475,1.00000000,0.64893158,2,2.00000000,0.97305671,0.11243412,1.00000000,0.66666667,1
formal_train,10031096,D3_TFIDF,5,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9,0.99859744;0.99628508;0.97316223;0.96934611;0.96808404,1.00000000,0.64893158,2,2.00000000,0.98109498,0.13736978,1.00000000,1.00000000,0
formal_train,10042322,B0,5,,WMA_3a7e73437e0a9fe9|WMA_42bc92ed21db5072|WMA_0a9b1563ea70614c|WMA_82e93aa0a46757d5|WMA_0268a961f5fbf9cb,0.99925727;0.99873906;0.99854136;0.99848336;0.99780828,1.00000000,0.64893158,5,2.00000000,0.99856586,0.27621201,0.60833333,1.00000000,0
formal_train,10042322,MMR,5,0.60000000,WMA_3a7e73437e0a9fe9|WMA_0268a961f5fbf9cb|WMA_42bc92ed21db5072|WMA_7c8008eaa89b0ce7|86153,0.99925727;0.99873906;0.99780828;0.99171317;0.98808295,1.00000000,0.64893158,5,2.00000000,0.99512014,0.15940681,0.53166667,0.42857143,2
formal_train,10042322,D3_TFIDF,5,,WMA_3a7e73437e0a9fe9|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb|WMA_7c8008eaa89b0ce7|WMA_42bc92ed21db5072,0.99925727;0.99873906;0.99854136;0.99780828;0.98808295,1.00000000,0.64893158,5,2.00000000,0.99648578,0.19054874,0.53166667,0.66666667,1
formal_train,10046266,B0,5,,WMA_f2c7b129a8948e33|WMA_c0240a974293f7cc|WMA_3d498fa45f8389ba|WMA_f9300e9f30ad6a2d|WMA_c61ff9ea7449d9a8,0.99661666;0.99448460;0.99180692;0.99165010;0.98907542,0.60000000,0.64893158,3,2.00000000,0.99272674,0.22014127,0.66666667,1.00000000,0
formal_train,10046266,MMR,5,0.60000000,WMA_f2c7b129a8948e33|WMA_c61ff9ea7449d9a8|WMA_70ce7949dbc7638d|WMA_f5bafafe5bfed5e9|WMA_f9300e9f30ad6a2d,0.99661666;0.99165010;0.98907542;0.98897421;0.97301948,0.60000000,0.64893158,3,2.00000000,0.98786718,0.14812644,0.66666667,0.42857143,2
formal_train,10046266,D3_TFIDF,5,,WMA_c61ff9ea7449d9a8|WMA_532df9ea912c8952|WMA_f2c7b129a8948e33|WMA_c0240a974293f7cc|WMA_3d498fa45f8389ba,0.99661666;0.99448460;0.99180692;0.98907542;0.98445845,0.80000000,0.64893158,4,2.00000000,0.99128841,0.23401248,0.65000000,0.66666667,1
formal_train,10076352,B0,5,,WMA_0290d41421a42155|WMA_6d877f410a01a1f6|WMA_f815db6bb44a24c4|WMA_e381b339d407b5b7|22732,0.99950981;0.99439806;0.98823839;0.98709631;0.98441374,1.00000000,0.64893158,2,2.00000000,0.99073126,0.18739935,0.80000000,1.00000000,0
