split,comparison,metric,mean_difference,ci,p_raw,p_holm
formal_train,MMR vs B0,DemandCov@5,0.0005,"[-0.0228, 0.0224]",0.9487,1.0000
internal_blind,MMR vs B0,DemandCov@5,0.0127,"[-0.0031, 0.0298]",0.1218,0.3654
cmedqa2_external,MMR vs B0,DemandCov@5,-0.0041,"[-0.0182, 0.0088]",0.5879,1.0000
formal_train,MMR vs B0,NDCG@10,-0.0119,"[-0.0238, -0.0001]",0.0490,0.0796
internal_blind,MMR vs B0,NDCG@10,-0.0158,"[-0.0315, -0.0008]",0.0398,0.0796
cmedqa2_external,MMR vs B0,NDCG@10,-0.0155,"[-0.0258, -0.0055]",0.0022,0.0066
formal_train,MMR vs D3_TFIDF,DemandCov@5,0.0022,"[-0.0208, 0.0257]",0.8487,0.8487
internal_blind,MMR vs D3_TFIDF,DemandCov@5,0.0094,"[-0.0089, 0.0292]",0.3280,0.6559
cmedqa2_external,MMR vs D3_TFIDF,DemandCov@5,-0.0141,"[-0.0364, 0.0047]",0.1692,0.5075
formal_train,MMR vs D3_TFIDF,NDCG@10,0.0001,"[-0.0129, 0.0136]",0.9863,1.0000
internal_blind,MMR vs D3_TFIDF,NDCG@10,0.0105,"[-0.0076, 0.0288]",0.2594,0.7781
cmedqa2_external,MMR vs D3_TFIDF,NDCG@10,0.0057,"[-0.0140, 0.0249]",0.5449,1.0000
