method,K3_DC_NDCG,K5_DC_NDCG,K7_DC_NDCG
formal_train|B0,0.8114/0.8978,0.8762/0.8998,0.9113/0.9048
formal_train|D0,0.9398/0.8373,0.9398/0.8420,0.9411/0.8614
formal_train|D3_TFIDF,0.8274/0.8898,0.8745/0.8861,0.9016/0.8929
formal_train|MMR,0.8303/0.8890,0.8768/0.8847,0.9216/0.8962
internal_blind|B0,0.8715/0.6635,0.9183/0.6911,0.9319/0.7161
internal_blind|D0,0.9802/0.6329,0.9819/0.6517,0.9836/0.6819
internal_blind|D3_TFIDF,0.8652/0.6391,0.9216/0.6595,0.9399/0.6876
internal_blind|MMR,0.8738/0.6600,0.9310/0.6725,0.9455/0.7028
cmedqa2_external|B0,0.9137/0.6892,0.9630/0.6956,0.9707/0.7126
cmedqa2_external|D0,0.9836/0.6360,0.9859/0.6572,0.9859/0.6851
cmedqa2_external|D3_TFIDF,0.9454/0.6520,0.9730/0.6660,0.9812/0.6972
cmedqa2_external|MMR,0.9020/0.6614,0.9589/0.6760,0.9742/0.7090
