comparison,x_metric,y_metric,n,kendall_tau_b,kendall_p,kendall_bootstrap_ci_low,kendall_bootstrap_ci_high,spearman_rho,spearman_p,spearman_bootstrap_ci_low,spearman_bootstrap_ci_high,tie_rate_x,tie_rate_y,bootstrap_n_ok_kendall,bootstrap_n_ok_spearman
D0_vs_B0,delta_demand_cov,delta_faithfulness,60,0.1136,0.1999,-0.0414,0.3437,0.1192,0.3605,-0.0431,0.3577,0.9667,1.0,9941,9941
D0_vs_B0,delta_demand_cov,delta_demand_completeness,60,0.0123,0.8892,-0.0531,0.0848,0.0129,0.9218,-0.0551,0.0878,0.9667,1.0,9948,9948
D0_vs_B0,delta_demand_cov,delta_overall_utility,60,0.0931,0.2932,-0.0562,0.3107,0.0979,0.4536,-0.0587,0.3246,0.9667,1.0,9976,9976
D0_vs_B0,delta_ndcg,delta_faithfulness,60,0.1107,0.2113,0.0058,0.2183,0.1367,0.2932,0.0076,0.2615,0.3167,1.0,9941,9941
D0_vs_B0,delta_ndcg,delta_demand_completeness,60,-0.0841,0.3422,-0.2955,0.1705,-0.0987,0.45,-0.3468,0.2023,0.3167,1.0,9948,9948
D0_vs_B0,delta_ndcg,delta_overall_utility,60,0.0978,0.2696,-0.1073,0.277,0.1183,0.3643,-0.1259,0.3281,0.3167,1.0,9976,9976
D3_TFIDF_vs_B0,delta_demand_cov,delta_faithfulness,60,-0.0234,0.7918,-0.0692,0.0141,-0.0235,0.8577,-0.0692,0.0142,0.9833,0.9833,6297,6297
D3_TFIDF_vs_B0,delta_demand_cov,delta_demand_completeness,60,-0.0299,0.736,-0.0692,-0.0169,-0.0299,0.82,-0.0692,-0.0169,0.9833,1.0,6039,6039
D3_TFIDF_vs_B0,delta_demand_cov,delta_overall_utility,60,-0.0422,0.634,-0.0977,-0.0137,-0.0425,0.7461,-0.0977,-0.0138,0.9833,0.9833,6334,6334
D3_TFIDF_vs_B0,delta_ndcg,delta_faithfulness,60,-0.0713,0.4211,-0.3151,0.1927,-0.08,0.5413,-0.3527,0.2174,0.5167,0.9833,9941,9941
D3_TFIDF_vs_B0,delta_ndcg,delta_demand_completeness,60,0.1037,0.2416,-0.0186,0.262,0.1165,0.3716,-0.0209,0.2926,0.5167,1.0,9560,9560
D3_TFIDF_vs_B0,delta_ndcg,delta_overall_utility,60,0.0064,0.9424,-0.2186,0.2282,0.0077,0.9531,-0.2462,0.2586,0.5167,0.9833,9999,9999
D3_E2_ROBERTA_vs_B0,delta_demand_cov,delta_faithfulness,60,0.0117,0.8953,-0.0513,0.0768,0.0119,0.9279,-0.0523,0.0781,0.9833,1.0,9507,9507
D3_E2_ROBERTA_vs_B0,delta_demand_cov,delta_demand_completeness,60,-0.0303,0.7325,-0.0879,0.033,-0.0306,0.8154,-0.089,0.0335,0.9833,0.9833,9380,9380
D3_E2_ROBERTA_vs_B0,delta_demand_cov,delta_overall_utility,60,-0.022,0.8041,-0.0883,0.0408,-0.0224,0.8643,-0.089,0.0415,0.9833,1.0,9510,9510
D3_E2_ROBERTA_vs_B0,delta_ndcg,delta_faithfulness,60,-0.0027,0.9753,-0.1712,0.162,-0.0033,0.9799,-0.1985,0.1878,0.5,1.0,9993,9993
D3_E2_ROBERTA_vs_B0,delta_ndcg,delta_demand_completeness,60,0.0107,0.9041,-0.2002,0.2303,0.0123,0.9255,-0.2262,0.2599,0.5,0.9833,9859,9859
D3_E2_ROBERTA_vs_B0,delta_ndcg,delta_overall_utility,60,-0.0439,0.6201,-0.187,0.0799,-0.0523,0.6902,-0.218,0.0907,0.5,1.0,9996,9996
D3_E2_ROBERTA_vs_D3_TFIDF,delta_demand_cov,delta_faithfulness,60,0.0353,0.6901,-0.0393,0.0991,0.0357,0.7856,-0.0393,0.1004,0.9667,1.0,9655,9655
D3_E2_ROBERTA_vs_D3_TFIDF,delta_demand_cov,delta_demand_completeness,60,0.0079,0.9291,-0.0396,0.0635,0.008,0.9511,-0.0403,0.0651,0.9667,1.0,9758,9758
D3_E2_ROBERTA_vs_D3_TFIDF,delta_demand_cov,delta_overall_utility,60,0.0398,0.6528,-0.0426,0.1087,0.0403,0.7589,-0.0426,0.1095,0.9667,1.0,9778,9778
D3_E2_ROBERTA_vs_D3_TFIDF,delta_ndcg,delta_faithfulness,60,-0.0922,0.2978,-0.3508,0.2156,-0.1052,0.4204,-0.3975,0.243,0.45,1.0,9832,9832
D3_E2_ROBERTA_vs_D3_TFIDF,delta_ndcg,delta_demand_completeness,60,-0.1568,0.0767,-0.3962,0.1386,-0.1779,0.1686,-0.4475,0.1617,0.45,1.0,9936,9936
D3_E2_ROBERTA_vs_D3_TFIDF,delta_ndcg,delta_overall_utility,60,-0.2257,0.0108,-0.3916,-0.0205,-0.2575,0.0424,-0.4444,-0.0229,0.45,1.0,9955,9955
