split,method,k,category,denominator_qid,coverage_rate
formal_train,B0,3,D01_symptom_course,191,0.88481675
formal_train,B0,3,D02_cause_diagnosis,95,0.88421053
formal_train,B0,3,D03_treatment_medication,117,0.94017094
formal_train,B0,3,D04_population_history,81,0.60493827
formal_train,B0,3,D05_care_emergency,76,0.53947368
formal_train,B0,3,D06_mental_safety,10,0.70000000
formal_train,B0,5,D01_symptom_course,191,0.95811518
formal_train,B0,5,D02_cause_diagnosis,95,0.91578947
formal_train,B0,5,D03_treatment_medication,117,0.95726496
formal_train,B0,5,D04_population_history,81,0.65432099
formal_train,B0,5,D05_care_emergency,76,0.61842105
formal_train,B0,5,D06_mental_safety,10,0.90000000
formal_train,B0,7,D01_symptom_course,191,0.96858639
formal_train,B0,7,D02_cause_diagnosis,95,0.94736842
formal_train,B0,7,D03_treatment_medication,117,0.97435897
formal_train,B0,7,D04_population_history,81,0.69135802
formal_train,B0,7,D05_care_emergency,76,0.77631579
formal_train,B0,7,D06_mental_safety,10,0.90000000
formal_train,D0,3,D01_symptom_course,191,0.98429319
formal_train,D0,3,D02_cause_diagnosis,95,0.98947368
formal_train,D0,3,D03_treatment_medication,117,0.99145299
formal_train,D0,3,D04_population_history,81,0.77777778
formal_train,D0,3,D05_care_emergency,76,0.80263158
formal_train,D0,3,D06_mental_safety,10,0.90000000
formal_train,D0,5,D01_symptom_course,191,0.98429319
formal_train,D0,5,D02_cause_diagnosis,95,0.98947368
formal_train,D0,5,D03_treatment_medication,117,0.99145299
formal_train,D0,5,D04_population_history,81,0.77777778
formal_train,D0,5,D05_care_emergency,76,0.80263158
formal_train,D0,5,D06_mental_safety,10,0.90000000
formal_train,D0,7,D01_symptom_course,191,0.98429319
formal_train,D0,7,D02_cause_diagnosis,95,0.98947368
formal_train,D0,7,D03_treatment_medication,117,0.99145299
formal_train,D0,7,D04_population_history,81,0.79012346
formal_train,D0,7,D05_care_emergency,76,0.80263158
formal_train,D0,7,D06_mental_safety,10,0.90000000
