split,method,comparison,n_qid,delta_demand_cov,delta_demand_cov_ci_low,delta_demand_cov_ci_high,delta_ndcg_at_k,delta_official_ndcg_10,delta_unique_demand_count,delta_redundancy
formal_train,B0,K3_vs_K5,200,-0.06483333,-0.09375000,-0.03925000,-0.00193673,-0.17231320,-0.15500000,0.00051667
formal_train,B0,K7_vs_K5,200,0.03508333,0.02133125,0.05058333,0.00505084,0.13844494,0.11000000,-0.01387222
formal_train,D0,K3_vs_K5,200,0.00000000,0.00000000,0.00000000,-0.00467119,-0.15557964,0.00000000,-0.08370555
formal_train,D0,K7_vs_K5,200,0.00125000,0.00000000,0.00375000,0.01937311,0.14068548,0.00500000,0.04984206
formal_train,D1,K3_vs_K5,200,-0.01750000,-0.03000000,-0.00708333,-0.00116948,-0.15652956,-0.05000000,-0.06689444
formal_train,D1,K7_vs_K5,200,0.00858333,0.00225000,0.01625000,0.01280037,0.13615462,0.03500000,0.03565317
formal_train,D2,K3_vs_K5,200,-0.04450000,-0.06825417,-0.02458333,0.00144371,-0.16720835,-0.11500000,0.00611389
formal_train,D2,K7_vs_K5,200,0.02766667,0.01500000,0.04250208,0.00257536,0.13471725,0.08500000,-0.01056071
formal_train,D3_TFIDF,K3_vs_K5,200,-0.04708333,-0.06925000,-0.02741667,0.00373177,-0.16562082,-0.13500000,0.01251111
formal_train,D3_TFIDF,K7_vs_K5,200,0.02708333,0.01291667,0.04458333,0.00680684,0.13909907,0.07000000,-0.00526667
formal_train,MMR,K3_vs_K5,200,-0.04650000,-0.06766667,-0.02816667,0.00432184,-0.16464879,-0.13000000,-0.00730556
formal_train,MMR,K7_vs_K5,200,0.04483333,0.02566667,0.06691667,0.01146982,0.14276836,0.12500000,0.00882937
internal_blind,B0,K3_vs_K5,200,-0.04675000,-0.06708333,-0.02866458,-0.02762621,-0.13475218,-0.36500000,0.00693056
internal_blind,B0,K7_vs_K5,200,0.01366667,0.00516667,0.02400000,0.02498088,0.10424055,0.20500000,0.00052579
internal_blind,D0,K3_vs_K5,200,-0.00166667,-0.00500000,0.00000000,-0.01885710,-0.12139088,-0.26000000,-0.03792500
internal_blind,D0,K7_vs_K5,200,0.00166667,0.00000000,0.00500000,0.03021248,0.10680969,0.15500000,0.02547183
internal_blind,D1,K3_vs_K5,200,-0.01600000,-0.02700000,-0.00666667,-0.02258397,-0.12607587,-0.24000000,-0.04501944
internal_blind,D1,K7_vs_K5,200,0.01116667,0.00350000,0.02058333,0.02776860,0.10500961,0.13000000,0.02224643
internal_blind,D2,K3_vs_K5,200,-0.05408333,-0.07741667,-0.03316458,-0.01281904,-0.12148779,-0.40000000,0.01363333
internal_blind,D2,K7_vs_K5,200,0.01291667,0.00416667,0.02333333,0.03104281,0.10821478,0.18500000,0.00774444
internal_blind,D3_TFIDF,K3_vs_K5,200,-0.05633333,-0.08225000,-0.03391667,-0.02036905,-0.12712657,-0.36500000,0.00512778
internal_blind,D3_TFIDF,K7_vs_K5,200,0.01833333,0.00750000,0.03083333,0.02811984,0.10415845,0.20000000,0.01233413
internal_blind,MMR,K3_vs_K5,200,-0.05716667,-0.08075000,-0.03583333,-0.01248898,-0.12100295,-0.39500000,-0.00558333
internal_blind,MMR,K7_vs_K5,200,0.01450000,0.00566458,0.02500000,0.03027244,0.10780645,0.15500000,0.01100794
cmedqa2_external,B0,K3_vs_K5,142,-0.04929577,-0.07570423,-0.02640845,-0.00636213,-0.12416959,-0.35211268,0.01750783
cmedqa2_external,B0,K7_vs_K5,142,0.00762911,0.00000000,0.01760563,0.01699585,0.10322010,0.18309859,-0.01011905
cmedqa2_external,D0,K3_vs_K5,142,-0.00234742,-0.00704225,0.00000000,-0.02116487,-0.12796988,-0.21126761,-0.02873239
cmedqa2_external,D0,K7_vs_K5,142,0.00000000,0.00000000,0.00000000,0.02790809,0.10931916,0.15492958,0.01245361
cmedqa2_external,D1,K3_vs_K5,142,-0.00762911,-0.01819249,0.00000000,-0.01641675,-0.12584513,-0.22535211,-0.04205790
cmedqa2_external,D1,K7_vs_K5,142,0.00000000,0.00000000,0.00000000,0.02433161,0.10691378,0.11267606,0.01405097
cmedqa2_external,D2,K3_vs_K5,142,-0.03990610,-0.06748826,-0.01701878,-0.01170551,-0.12526212,-0.31690141,-0.00744914
cmedqa2_external,D2,K7_vs_K5,142,0.00469484,0.00000000,0.01173709,0.02213723,0.10579107,0.15492958,-0.00178180
cmedqa2_external,D3_TFIDF,K3_vs_K5,142,-0.02758216,-0.04988263,-0.00938967,-0.01401578,-0.12410035,-0.31690141,-0.01386933
cmedqa2_external,D3_TFIDF,K7_vs_K5,142,0.00821596,0.00000000,0.01877934,0.03120462,0.11211208,0.20422535,-0.00726302
cmedqa2_external,MMR,K3_vs_K5,142,-0.05692488,-0.08685446,-0.03051643,-0.01459571,-0.12608953,-0.43661972,0.00901409
cmedqa2_external,MMR,K7_vs_K5,142,0.01525822,0.00352113,0.03051643,0.03301110,0.11597059,0.23943662,-0.00692600
