split,qid,method,k,lambda,selected_doc_ids,demand_cov_at_k,ndcg_at_k,official_ndcg_10,unique_demand_count,mean_gold_relevance,mean_reranker_score,mean_pairwise_similarity,redundancy,full_query_coverage,risk_demand_coverage,has_risk_demand
formal_train,1000761,B0,3,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3,1.00000000,1.00000000,0.46900009,2,2.00000000,0.90151872,0.38846660,1.00000000,1,1,1
formal_train,1000761,D0,3,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3,1.00000000,1.00000000,0.46900009,2,2.00000000,0.90151872,0.38846660,1.00000000,1,1,1
formal_train,1000761,D1,3,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3,1.00000000,1.00000000,0.46900009,2,2.00000000,0.90151872,0.38846660,1.00000000,1,1,1
formal_train,1000761,D2,3,,WMA_b703a00296735980|108852|WMA_76cf52bc0179748c,1.00000000,1.00000000,0.46900009,2,2.00000000,0.87330953,0.06333150,1.00000000,1,1,1
formal_train,1000761,D3_TFIDF,3,,WMA_76cf52bc0179748c|WMA_b703a00296735980|WMA_fa04e7ef7fa8e6d3,1.00000000,1.00000000,0.46900009,2,2.00000000,0.86918567,0.34116222,1.00000000,1,1,1
formal_train,1000761,MMR,3,0.60000000,WMA_b703a00296735980|108852|WMA_76cf52bc0179748c,1.00000000,1.00000000,0.46900009,2,2.00000000,0.87330953,0.06333150,1.00000000,1,1,1
formal_train,1000761,B0,5,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3|145755|WMA_72029596e107c171,1.00000000,1.00000000,0.64893158,2,2.00000000,0.88165014,0.28591464,1.00000000,1,1,1
formal_train,1000761,D0,5,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3|145755|WMA_72029596e107c171,1.00000000,1.00000000,0.64893158,2,2.00000000,0.88165014,0.28591464,1.00000000,1,1,1
formal_train,1000761,D1,5,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3|145755|WMA_72029596e107c171,1.00000000,1.00000000,0.64893158,2,2.00000000,0.88165014,0.28591464,1.00000000,1,1,1
formal_train,1000761,D2,5,,WMA_b703a00296735980|108852|WMA_76cf52bc0179748c|145755|WMA_72029596e107c171,1.00000000,1.00000000,0.64893158,2,2.00000000,0.86472462,0.13413243,1.00000000,1,1,1
formal_train,1000761,D3_TFIDF,5,,WMA_76cf52bc0179748c|WMA_b703a00296735980|WMA_fa04e7ef7fa8e6d3|108852|145755,1.00000000,1.00000000,0.64893158,2,2.00000000,0.87343439,0.25249980,1.00000000,1,1,1
formal_train,1000761,MMR,5,0.60000000,WMA_b703a00296735980|108852|WMA_76cf52bc0179748c|WMA_72029596e107c171|WMA_fe57955f592e96c5,1.00000000,1.00000000,0.64893158,2,2.00000000,0.84085397,0.06813638,1.00000000,1,1,1
formal_train,1000761,B0,7,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3|145755|WMA_72029596e107c171|WMA_76cf52bc0179748c|WMA_fe57955f592e96c5,1.00000000,1.00000000,0.80069377,2,2.00000000,0.85021617,0.15574361,1.00000000,1,1,1
formal_train,1000761,D0,7,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3|145755|WMA_72029596e107c171|WMA_76cf52bc0179748c|WMA_fe57955f592e96c5,1.00000000,1.00000000,0.80069377,2,2.00000000,0.85021617,0.15574361,1.00000000,1,1,1
formal_train,1000761,D1,7,,WMA_b703a00296735980|108852|WMA_fa04e7ef7fa8e6d3|145755|WMA_72029596e107c171|WMA_76cf52bc0179748c|WMA_fe57955f592e96c5,1.00000000,1.00000000,0.80069377,2,2.00000000,0.85021617,0.15574361,1.00000000,1,1,1
formal_train,1000761,D2,7,,WMA_b703a00296735980|108852|WMA_76cf52bc0179748c|145755|WMA_72029596e107c171|WMA_fe57955f592e96c5|WMA_fa04e7ef7fa8e6d3,1.00000000,1.00000000,0.80069377,2,2.00000000,0.85021617,0.15574361,1.00000000,1,1,1
formal_train,1000761,D3_TFIDF,7,,WMA_76cf52bc0179748c|WMA_b703a00296735980|WMA_fa04e7ef7fa8e6d3|108852|145755|WMA_72029596e107c171|WMA_fe57955f592e96c5,1.00000000,1.00000000,0.80069377,2,2.00000000,0.85021617,0.15574361,1.00000000,1,1,1
