case_id,pattern_id,family,status,adapter_calls,source_calls,sink_calls,changed_qids,leak_class
c_016e57250c5645a7,R3,Leak-R,EXECUTED,886,15,15,0,ACCESS_LEAK
c_0337ee8e95fc4c30,M1,Leak-M,EXECUTED,886,15,15,3,BEHAVIORAL_LEAK
c_084667a283314b02,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_0eb7d0f8f6ee43c4,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_0f357c79137b4ab5,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_0f935733be9940a8,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_0fb926f7378948c2,R2,Leak-R,EXECUTED,886,60,60,0,ACCESS_LEAK
c_12a921a9f7574f48,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_1960c4abfc3b472f,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_1bc2135ee00d465a,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_1c888b5039314b44,F3,Leak-F,EXECUTED,886,105,105,0,ACCESS_LEAK
c_20a8d216644f4d40,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_217dbdab703b4b70,F4,Leak-F,EXECUTED,886,15,15,0,ACCESS_LEAK
c_24e99b2a1a02410d,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_26602083d2304cbb,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_28b40afbe7c24860,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_2b47837694ae4f1b,M1,Leak-M,EXECUTED,886,5,5,1,BEHAVIORAL_LEAK
c_2cd0bf73f8224159,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_2f3efd7aa03049d7,R4,Leak-R,EXECUTED,886,15,15,0,ACCESS_LEAK
c_3095d6195ad44fdc,M2,Leak-M,EXECUTED,886,1,1,0,ACCESS_LEAK
c_375a3acdd9024342,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_387d494f03c1487e,F2,Leak-F,EXECUTED,886,105,105,0,ACCESS_LEAK
c_44e48d8e577c47fb,F3,Leak-F,EXECUTED,886,60,60,0,ACCESS_LEAK
c_46894f5d00dd47e3,Clean,Clean,EXECUTED,301,0,0,0,NO_LEAK
c_46af0707d227425e,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_4ebe8fd5a7034199,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_5098e6020128428a,M1,Leak-M,EXECUTED,886,1,1,0,ACCESS_LEAK
c_522d5b59eb2841ea,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_54adb8be25374740,F1,Leak-F,EXECUTED,886,60,60,0,ACCESS_LEAK
c_58f1c9c284b14538,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_5a06debb26054c51,M2,Leak-M,EXECUTED,886,15,15,3,BEHAVIORAL_LEAK
c_5afce37ee2774341,Clean,Clean,EXECUTED,316,0,0,0,NO_LEAK
c_61c199064a5a4d90,F4,Leak-F,EXECUTED,886,60,60,0,ACCESS_LEAK
c_6288c8a5d7e54564,R4,Leak-R,EXECUTED,886,60,60,0,ACCESS_LEAK
c_645d338c354f482c,M4,Leak-M,EXECUTED,886,15,15,3,BEHAVIORAL_LEAK
c_678a3a0d749342e4,R2,Leak-R,EXECUTED,886,15,15,0,ACCESS_LEAK
c_69e21dea9c9142c8,M4,Leak-M,EXECUTED,886,1,1,0,ACCESS_LEAK
c_6a131e0a66e44342,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_6a4d42c1df084d27,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_6cffbc17a06e4af7,F2,Leak-F,EXECUTED,886,60,60,0,ACCESS_LEAK
c_726f0e1e7cbd4663,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
c_761c96f6dd1e4ec6,Clean,Clean,EXECUTED,286,0,0,0,NO_LEAK
c_7661a4a4c8e543d3,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_76e97580221148b2,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_773a01d0b3bf4a18,F1,Leak-F,EXECUTED,886,15,15,0,ACCESS_LEAK
c_77f1e43735db46b9,Clean,Clean,EXECUTED,346,0,0,0,NO_LEAK
c_7ac276a881c046bd,R3,Leak-R,EXECUTED,886,105,105,0,ACCESS_LEAK
c_7dab3a7aae364b29,F4,Leak-F,EXECUTED,886,105,105,0,ACCESS_LEAK
c_7dfad22b84ed4dac,F1,Leak-F,EXECUTED,886,105,105,0,ACCESS_LEAK
c_83a70ce8d96049df,Clean,Clean,EXECUTED,331,0,0,0,NO_LEAK
