pattern_id,case_count,executed_cases,adapter_calls,source_calls,sink_calls,changed_qids,status
Clean,60,60,18960,0,0,0,REPRODUCED
F1,3,3,2658,180,180,0,REPRODUCED
F2,3,3,2658,180,180,0,REPRODUCED
F3,3,3,2658,180,180,0,REPRODUCED
F4,3,3,2658,180,180,0,REPRODUCED
M1,3,3,2658,21,21,4,REPRODUCED
M2,3,3,2658,21,21,4,REPRODUCED
M3,3,3,2658,21,21,4,REPRODUCED
M4,3,3,2658,21,21,4,REPRODUCED
R1,3,3,2658,180,180,0,REPRODUCED
R2,3,3,2658,180,180,0,REPRODUCED
R3,3,3,2658,180,180,0,REPRODUCED
R4,3,3,2658,180,180,0,REPRODUCED
