pattern_id,family,case_id,ast_hash,status
R3,Leak-R,c_016e57250c5645a7,a57b51a7f3671da8,REPRODUCED
M1,Leak-M,c_0337ee8e95fc4c30,0a312dd3eea711f2,REPRODUCED
R2,Leak-R,c_0fb926f7378948c2,da91a2d81aa9573b,REPRODUCED
F3,Leak-F,c_1c888b5039314b44,42462e9f4965e462,REPRODUCED
F4,Leak-F,c_217dbdab703b4b70,9aac64159fee4723,REPRODUCED
M1,Leak-M,c_2b47837694ae4f1b,0a312dd3eea711f2,REPRODUCED
R4,Leak-R,c_2f3efd7aa03049d7,860fec235ae5bbe0,REPRODUCED
M2,Leak-M,c_3095d6195ad44fdc,f00603195f98d7b7,REPRODUCED
F2,Leak-F,c_387d494f03c1487e,66a297d1d92395a4,REPRODUCED
F3,Leak-F,c_44e48d8e577c47fb,42462e9f4965e462,REPRODUCED
M1,Leak-M,c_5098e6020128428a,0a312dd3eea711f2,REPRODUCED
F1,Leak-F,c_54adb8be25374740,f222379000fcf053,REPRODUCED
M2,Leak-M,c_5a06debb26054c51,f00603195f98d7b7,REPRODUCED
F4,Leak-F,c_61c199064a5a4d90,9aac64159fee4723,REPRODUCED
R4,Leak-R,c_6288c8a5d7e54564,860fec235ae5bbe0,REPRODUCED
M4,Leak-M,c_645d338c354f482c,4f3b7efd8fda8bd8,REPRODUCED
R2,Leak-R,c_678a3a0d749342e4,da91a2d81aa9573b,REPRODUCED
M4,Leak-M,c_69e21dea9c9142c8,4f3b7efd8fda8bd8,REPRODUCED
F2,Leak-F,c_6cffbc17a06e4af7,66a297d1d92395a4,REPRODUCED
F1,Leak-F,c_773a01d0b3bf4a18,f222379000fcf053,REPRODUCED
R3,Leak-R,c_7ac276a881c046bd,a57b51a7f3671da8,REPRODUCED
F4,Leak-F,c_7dab3a7aae364b29,9aac64159fee4723,REPRODUCED
F1,Leak-F,c_7dfad22b84ed4dac,f222379000fcf053,REPRODUCED
R1,Leak-R,c_865df1de3d2646b7,324814f8ac4dd33c,REPRODUCED
F2,Leak-F,c_86cdbb6429474b0c,66a297d1d92395a4,REPRODUCED
M4,Leak-M,c_95af74b6a1024214,4f3b7efd8fda8bd8,REPRODUCED
F3,Leak-F,c_acf3a2ed291e46c6,42462e9f4965e462,REPRODUCED
M3,Leak-M,c_b4bd4dda993d4582,d06a6c040fd39e3b,REPRODUCED
R1,Leak-R,c_b614168a3b2c4109,324814f8ac4dd33c,REPRODUCED
M3,Leak-M,c_c0ee3e26b0c74aaa,d06a6c040fd39e3b,REPRODUCED
R3,Leak-R,c_d054acaba196402a,a57b51a7f3671da8,REPRODUCED
R4,Leak-R,c_d55aa91337014b89,860fec235ae5bbe0,REPRODUCED
R1,Leak-R,c_f4d70eb71afc4710,324814f8ac4dd33c,REPRODUCED
R2,Leak-R,c_f75797537cc541d2,da91a2d81aa9573b,REPRODUCED
M3,Leak-M,c_f7760253c6c444cb,d06a6c040fd39e3b,REPRODUCED
M2,Leak-M,c_ffa58de489ef46d9,f00603195f98d7b7,REPRODUCED
