case_id,clean_type,code_sha256,data_sha256,config_sha256,combined_sha256,status
c_084667a283314b02,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,983b544b1d07f9142aa5b2d50e37f62156adf93d48be6510d7931eedfe50dde0,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,f6ea5786efac4b794639623a34345a1c64806c58c4c5db7812379d0c6b250725,REPRODUCED
c_0eb7d0f8f6ee43c4,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,d229ff49171b4413e26e57e39364918e79a0fdc443aa413f6ee77277b15d6d15,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,28d4ebaa2f2f1f07ef2b5e11d996f161c5e2ad3f5f93d0ce145e6ac74f71a19d,REPRODUCED
c_0f357c79137b4ab5,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,fe37a4b0ff88e62afd09264476369895304b15bd8f860f8d65b0a38fb06ba232,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,1421aeb9f383f9b58dc962026ad66c9aa705012b20635561efc97ec8aa1619f1,REPRODUCED
c_0f935733be9940a8,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,c400747e77709b627593e827295890d691d83bf976ea256bd2648e3ed0a6748b,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,ac8f8ec96ec87fdb0e692f1f31dc8ec0e133dc8a7f218f90cefaf1228e32d71a,REPRODUCED
c_12a921a9f7574f48,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,603e1d59acda473ad99e3621596c69658ef07330b069fb45ed905a770347286a,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,f559468ce5a16c3e0448ed4ac949d7b9d67fea923fe58fb8cce9cfa23f1310d4,REPRODUCED
c_1960c4abfc3b472f,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,5ffd378e045453b8595d42aa60083de1f253d853120fdc20476e308c12685c2b,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,a5cff6c779e5358dc1b84098a4f64d43505e909a9a056fd3d2274da613eb8435,REPRODUCED
c_1bc2135ee00d465a,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,9884c7d8ab3ca7f628c0560e74208e4e02a41bd4dbd8c173cccecd15812f70dc,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,dd611d166867c5b0245763d0c26fb87beb63c0c174825305b3fca2b0d83e0908,REPRODUCED
c_20a8d216644f4d40,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,0d16dddf8e475c244709da7a7c7f7e9dc8510c19d655efec50ac59fa39271a10,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,6a7eb521146d9a15b3f3cea3bb3bd3bf93333b74a2d9c3393533c0d5099e0896,REPRODUCED
c_24e99b2a1a02410d,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,cf37914566827df60406a7cff253ffc1faadc8aa1c979a73c9833078ce840b4e,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,58e31db1ded8e826251ccd64cf5c09b7968d0928d2bfca5242e6b7fea9b77e6a,REPRODUCED
c_26602083d2304cbb,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,ac564a081cb964cae0ac189b2703c3e5191f8de5b1944aa9c646b1018235f2d6,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,46159f6327a88d90d50f051a99996f030737713311f86f288b5244a3e13e3a0e,REPRODUCED
c_28b40afbe7c24860,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,8fa1ce838f2243c48fe0cd86e4360df8879d235f5cf307d0bcade30d01e45ac7,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,bcb772da09360294d2d364ac04f660e10870392e5954cd378e1413ddca1d5d50,REPRODUCED
