case_id,family,pattern_id,changed_qids,set_change_rate,order_change_rate,first_change_position,private_access_count,leak_class,status
c_016e57250c5645a7,Leak-R,R3,0,0.0,0.0,,15,ACCESS_LEAK,REPRODUCED
c_0337ee8e95fc4c30,Leak-M,M1,3,0.03333333333333333,0.05,1,15,BEHAVIORAL_LEAK,REPRODUCED
c_084667a283314b02,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_0eb7d0f8f6ee43c4,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_0f357c79137b4ab5,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_0f935733be9940a8,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_0fb926f7378948c2,Leak-R,R2,0,0.0,0.0,,60,ACCESS_LEAK,REPRODUCED
c_12a921a9f7574f48,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_1960c4abfc3b472f,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_1bc2135ee00d465a,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_1c888b5039314b44,Leak-F,F3,0,0.0,0.0,,105,ACCESS_LEAK,REPRODUCED
c_20a8d216644f4d40,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_217dbdab703b4b70,Leak-F,F4,0,0.0,0.0,,15,ACCESS_LEAK,REPRODUCED
c_24e99b2a1a02410d,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_26602083d2304cbb,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_28b40afbe7c24860,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_2b47837694ae4f1b,Leak-M,M1,1,0.0,0.016666666666666666,2,5,BEHAVIORAL_LEAK,REPRODUCED
c_2cd0bf73f8224159,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_2f3efd7aa03049d7,Leak-R,R4,0,0.0,0.0,,15,ACCESS_LEAK,REPRODUCED
c_3095d6195ad44fdc,Leak-M,M2,0,0.0,0.0,,1,ACCESS_LEAK,REPRODUCED
c_375a3acdd9024342,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_387d494f03c1487e,Leak-F,F2,0,0.0,0.0,,105,ACCESS_LEAK,REPRODUCED
c_44e48d8e577c47fb,Leak-F,F3,0,0.0,0.0,,60,ACCESS_LEAK,REPRODUCED
c_46894f5d00dd47e3,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_46af0707d227425e,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_4ebe8fd5a7034199,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_5098e6020128428a,Leak-M,M1,0,0.0,0.0,,1,ACCESS_LEAK,REPRODUCED
c_522d5b59eb2841ea,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_54adb8be25374740,Leak-F,F1,0,0.0,0.0,,60,ACCESS_LEAK,REPRODUCED
c_58f1c9c284b14538,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_5a06debb26054c51,Leak-M,M2,3,0.03333333333333333,0.05,1,15,BEHAVIORAL_LEAK,REPRODUCED
c_5afce37ee2774341,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_61c199064a5a4d90,Leak-F,F4,0,0.0,0.0,,60,ACCESS_LEAK,REPRODUCED
c_6288c8a5d7e54564,Leak-R,R4,0,0.0,0.0,,60,ACCESS_LEAK,REPRODUCED
c_645d338c354f482c,Leak-M,M4,3,0.03333333333333333,0.05,1,15,BEHAVIORAL_LEAK,REPRODUCED
c_678a3a0d749342e4,Leak-R,R2,0,0.0,0.0,,15,ACCESS_LEAK,REPRODUCED
