qid_hash,doc_id_hash,level,category,row_hash
h_f1f5f9c0f44f145b,,query,query_states_real_conflict,8de815ddc58cf2904be8b44941b2eab1c88ad7d1714c9f67f1001f58aa41a6f2
h_1dd576d381884210,,query,query_states_real_conflict,83df0333b7d8da635027aa5bf3d65424a2567113d61d8796c57ed4fec0cb9ac8
h_9e14977944920e9e,,query,query_states_real_conflict,95adbb98b368459e2f7487f53a3ebe3846486c18c832129018da7ee919cb63be
h_eca58cdb96880d39,,query,query_states_real_conflict,2a395cea52897c17939a37e508df0683cedd020315f8c77b890ec95966b404e6
h_f81699fba4a145ac,,query,query_states_real_conflict,30f24497cda896362e865c035e2b742facc3b8d22ef77639cfa2b5a350072fa1
h_25f09691189e7d21,,query,query_states_real_conflict,1c214b91063b1bf748a2b79a19d25ad865c6c875b522ff9c580480c7d20cde58
h_25f09691189e7d21,,query,risk_types_real_conflict,1c214b91063b1bf748a2b79a19d25ad865c6c875b522ff9c580480c7d20cde58
h_16d62500f29d3587,,query,query_states_real_conflict,38a42767fc7eb5e8140f360278cc1f72791fef07b74491ea281350a696df2fd5
h_66b704865d1ca4ee,,query,query_states_real_conflict,fc1844b4370004f2586778daa003f98d5d50f7a08820989970828546c03a93a0
h_3852d79299a2988a,,query,query_states_real_conflict,cde7f3ffbdb7dadfa6d59ebd62393aa898e6206e535f74a6e6a737ac49a7b2da
h_3852d79299a2988a,,query,risk_types_real_conflict,cde7f3ffbdb7dadfa6d59ebd62393aa898e6206e535f74a6e6a737ac49a7b2da
h_1ffcfbd1fc2931b5,,query,query_states_real_conflict,234b78c5cff5b5a14a68b651f6bd5d73c51fe03fddcb63acc72db7b262f2140b
h_1ffcfbd1fc2931b5,,query,risk_types_real_conflict,234b78c5cff5b5a14a68b651f6bd5d73c51fe03fddcb63acc72db7b262f2140b
h_9fb65af2a8f3e24f,,query,fully_consistent,295b6f42ec43a79c6300ef7ca3a35e7a6157b7bc0a1a12240ab8831c44e47415
h_11ebeb1cd1844431,,query,fully_consistent,94a904e7c3b425610e4515895f8fc9b7c01ad47d5e26fd4e320f7ab81241cc3b
h_3b859581fd395a81,,query,query_states_real_conflict,39be7edd54aa2b5ce5d981881a495950eb9f1e6e15697d886fec3d626bb2378a
h_3b859581fd395a81,,query,risk_types_real_conflict,39be7edd54aa2b5ce5d981881a495950eb9f1e6e15697d886fec3d626bb2378a
h_f73c33b00131d4a3,,query,query_states_real_conflict,cfda89662e0c71726e7745cc4ca44fbab860f1b989a312980404d8e644f3b686
h_3bbfd8c7edbcf7a9,,query,query_states_real_conflict,d68b66aa535ee9a828d0ec57c877afcce97e54e2bf1aaec16635e4f19409303d
h_3bbfd8c7edbcf7a9,,query,risk_types_real_conflict,d68b66aa535ee9a828d0ec57c877afcce97e54e2bf1aaec16635e4f19409303d
h_33f1ef500ea1ca06,,query,fully_consistent,1fecec406baacc56a906dc025e7843215d9ad6b4e8e5d838851991d65497fcda
h_fa786c4511a68302,,query,query_states_real_conflict,d80252cb9eb82396cffb6b09cc97979a5ee0304d621f29b5971c25ce6f9d8ab0
h_4443ef6128bcdd6a,,query,query_states_real_conflict,635302d403ade2d23d8c7883b10e8f25c0f10a2df019764a89b56e08b8b5d294
h_89e68e84a29a8317,,query,fully_consistent,f04b3cf5496200183c56579bb9976c5e17461371c03f5bf72df6922f5b2f9f04
h_77b59ebdf28d1298,,query,query_states_real_conflict,4f6dff8f9fa0a6590e62baaba6f65deb96ef20d87572dcf2d3b9c05e86fbcb3d
h_8d5e595867a16ee4,,query,query_states_real_conflict,18234c879e8ecccb7f52537b090a79a52709fa927877071e7700e77957ab982e
h_8d5e595867a16ee4,,query,risk_types_real_conflict,18234c879e8ecccb7f52537b090a79a52709fa927877071e7700e77957ab982e
h_94a854a9b2a13918,,query,query_states_real_conflict,eee5f19048fad0a9ef73db246c0af8564fca4ed55430af551c3604008ad45663
h_94a854a9b2a13918,,query,risk_types_real_conflict,eee5f19048fad0a9ef73db246c0af8564fca4ed55430af551c3604008ad45663
h_ade01a0ba2077541,,query,query_states_real_conflict,ef27e170c23f8754fcc5a1f3fd7f5abb7ca7039dc489219a1c973a6dbcf2a379
h_ade01a0ba2077541,,query,risk_types_real_conflict,ef27e170c23f8754fcc5a1f3fd7f5abb7ca7039dc489219a1c973a6dbcf2a379
h_63c9cef3d1e00a43,,query,query_states_real_conflict,33365e8dbc14722829a754d6ef3725fa0c3cab1c57d72e33fd8ee2a3068479ba
h_53fc8adaea9f5f87,,query,query_states_real_conflict,1e2ba5497947ab11ab82a42b3f6ce30a09c5055f9d2f22399c0906f1e6732e4b
h_53fc8adaea9f5f87,,query,risk_types_real_conflict,1e2ba5497947ab11ab82a42b3f6ce30a09c5055f9d2f22399c0906f1e6732e4b
h_0090dd284c02023a,,query,query_states_real_conflict,7131b6bb6ee943dddc86ed1b5d6abaf455c5e05cf346340db68b4e77537baaab
h_ec14661dfdb4aa1a,,query,query_states_real_conflict,92f16a2476d842c8754cbf895404c091ba16264b61675f6327237360c98327f2
h_75398ff6bbbe2d26,,query,query_states_real_conflict,011bbd6cfd1278a7fc2d9e57157fa87b6d513b0959eb22894b1e7ef383069e69
h_75398ff6bbbe2d26,,query,risk_types_real_conflict,011bbd6cfd1278a7fc2d9e57157fa87b6d513b0959eb22894b1e7ef383069e69
h_c8d42efbd8b87fbf,,query,query_states_real_conflict,7947b8cc9308aad0b7f9173e7a90d2be267fbfd407393990c13889948afca21c
h_e929b09e3fdeb301,,query,query_states_real_conflict,2efafc309d8c040a420b9566f595a9ebb7f287f6fd2b52c8ba9f3556e07e291b
h_76924abb4c897425,,query,query_states_real_conflict,fa252fe6f0f702943ab4f12e7de45c85fa3bdcbae039ce47e34a196fbe5fcba0
h_8d064650f444c465,,query,query_states_real_conflict,d0a8677d6975850efe8b0d32c979995339da3a60ee971d6ec68941eb30052bae
h_8d064650f444c465,,query,risk_types_real_conflict,d0a8677d6975850efe8b0d32c979995339da3a60ee971d6ec68941eb30052bae
h_bfbbfb23b7934435,,query,query_states_real_conflict,7cdde6efe298145a27734eaa3fee016b97e9845654702c7585d64fc58242ab68
h_bfbbfb23b7934435,,query,risk_types_real_conflict,7cdde6efe298145a27734eaa3fee016b97e9845654702c7585d64fc58242ab68
h_a9a8a6d762a7bc06,,query,query_states_real_conflict,be1b08841a16c0f66b5f134340376256fc14dbb3020e5194d421348a02d3f17a
h_adddfcdb733eb699,,query,query_states_real_conflict,0784a7053ef35e8a20a9382038f42c82654a9a0983248f8433dfb88d44b57f5b
h_4b228af28a222492,,query,query_states_real_conflict,31c878bcc6beae1c67af120e75a9ad1954fe5d6bd1b069fb9a9674281959d957
h_4b228af28a222492,,query,risk_types_real_conflict,31c878bcc6beae1c67af120e75a9ad1954fe5d6bd1b069fb9a9674281959d957
h_09d7a1a61baf6400,,query,query_states_real_conflict,517f353831197fa62a4e60b5f3acd6f97d76866a956a6aed94c36cb2fde64af5
h_09d7a1a61baf6400,,query,risk_types_real_conflict,517f353831197fa62a4e60b5f3acd6f97d76866a956a6aed94c36cb2fde64af5
h_d8cbe284def1a50c,,query,query_states_real_conflict,4a75c66560f37e25a0f641fdd4a40b00935808ba7aa432340c14a1c7c01323f4
h_0731672f8ba38c22,,query,query_states_real_conflict,7f2fc2c927dd62461329fecb5f0d8e41915f74311719017de9415ef8d7eb7272
