condition,repeat,elapsed_ms,peak_memory_kb,status
config_load,0,5.0104,1034.9775390625,REPRODUCED
config_load,1,2.6745,1034.9775390625,REPRODUCED
config_load,2,2.5001,1035.03515625,REPRODUCED
config_load,3,2.5334,1035.03515625,REPRODUCED
config_load,4,2.4861,1035.03515625,REPRODUCED
config_load,5,2.528,1035.03515625,REPRODUCED
config_load,6,2.8979,1035.03515625,REPRODUCED
config_load,7,3.6118,1035.03515625,REPRODUCED
config_load,8,2.7952,1035.03515625,REPRODUCED
config_load,9,2.9262,1035.03515625,REPRODUCED
keyword_scan,0,0.5198,18.5302734375,REPRODUCED
keyword_scan,1,0.4402,18.5302734375,REPRODUCED
keyword_scan,2,0.4289,18.5302734375,REPRODUCED
keyword_scan,3,0.5309,18.5302734375,REPRODUCED
keyword_scan,4,0.487,18.5302734375,REPRODUCED
keyword_scan,5,0.4476,18.5302734375,REPRODUCED
keyword_scan,6,0.4227,18.5302734375,REPRODUCED
keyword_scan,7,0.42,18.5302734375,REPRODUCED
keyword_scan,8,0.6532,18.5302734375,REPRODUCED
keyword_scan,9,0.6115,18.5302734375,REPRODUCED
ast_scan,0,2.3441,99.494140625,REPRODUCED
ast_scan,1,2.5772,99.494140625,REPRODUCED
ast_scan,2,2.3984,99.494140625,REPRODUCED
ast_scan,3,2.3288,99.494140625,REPRODUCED
ast_scan,4,4.4236,99.494140625,REPRODUCED
ast_scan,5,2.8264,99.494140625,REPRODUCED
ast_scan,6,2.4333,99.494140625,REPRODUCED
ast_scan,7,2.4759,99.494140625,REPRODUCED
ast_scan,8,2.3819,99.494140625,REPRODUCED
ast_scan,9,2.5682,99.494140625,REPRODUCED
