condition,repeat,elapsed_ms,peak_memory_kb,status
baseline_selection,0,493.2751,936.8642578125,REPRODUCED
baseline_selection,1,492.1177,937.0908203125,REPRODUCED
baseline_selection,2,510.8354,937.0908203125,REPRODUCED
baseline_selection,3,496.1586,937.0908203125,REPRODUCED
baseline_selection,4,501.3849,937.0908203125,REPRODUCED
baseline_selection,5,521.9437,937.0908203125,REPRODUCED
baseline_selection,6,487.0926,937.0908203125,REPRODUCED
baseline_selection,7,485.5871,937.0908203125,REPRODUCED
baseline_selection,8,444.1854,937.0908203125,REPRODUCED
baseline_selection,9,479.1206,937.0908203125,REPRODUCED
baseline_plus_schema,0,537.5983,991.423828125,REPRODUCED
baseline_plus_schema,1,516.7056,988.5498046875,REPRODUCED
baseline_plus_schema,2,520.8841,991.48828125,REPRODUCED
baseline_plus_schema,3,522.2675,995.6943359375,REPRODUCED
baseline_plus_schema,4,576.8316,992.8134765625,REPRODUCED
baseline_plus_schema,5,509.9345,994.599609375,REPRODUCED
baseline_plus_schema,6,535.634,995.2333984375,REPRODUCED
baseline_plus_schema,7,523.2754,995.0029296875,REPRODUCED
baseline_plus_schema,8,454.1117,995.0029296875,REPRODUCED
baseline_plus_schema,9,443.3071,995.0029296875,REPRODUCED
baseline_plus_runtime_monitor,0,527.1198,936.8642578125,REPRODUCED
baseline_plus_runtime_monitor,1,474.493,937.0908203125,REPRODUCED
baseline_plus_runtime_monitor,2,503.7836,937.0908203125,REPRODUCED
baseline_plus_runtime_monitor,3,527.5468,937.0908203125,REPRODUCED
baseline_plus_runtime_monitor,4,517.925,937.0908203125,REPRODUCED
baseline_plus_runtime_monitor,5,478.3434,937.033203125,REPRODUCED
baseline_plus_runtime_monitor,6,548.2171,937.0908203125,REPRODUCED
baseline_plus_runtime_monitor,7,513.2058,937.0908203125,REPRODUCED
baseline_plus_runtime_monitor,8,506.3241,937.0908203125,REPRODUCED
baseline_plus_runtime_monitor,9,486.1133,937.0908203125,REPRODUCED
baseline_plus_invariance,0,969.802,1026.734375,REPRODUCED
baseline_plus_invariance,1,948.0579,1020.0439453125,REPRODUCED
baseline_plus_invariance,2,937.5478,1057.6806640625,REPRODUCED
baseline_plus_invariance,3,936.806,1022.07421875,REPRODUCED
baseline_plus_invariance,4,921.3732,1024.7109375,REPRODUCED
baseline_plus_invariance,5,937.1453,1020.447265625,REPRODUCED
baseline_plus_invariance,6,922.9219,1016.1259765625,REPRODUCED
baseline_plus_invariance,7,918.6786,1017.2919921875,REPRODUCED
baseline_plus_invariance,8,916.5498,1013.0146484375,REPRODUCED
baseline_plus_invariance,9,976.9491,1024.0771484375,REPRODUCED
baseline_plus_full_online_audit,0,1624.8779,1045.0654296875,REPRODUCED
baseline_plus_full_online_audit,1,1489.0931,1047.185546875,REPRODUCED
baseline_plus_full_online_audit,2,1479.1771,1050.4326171875,REPRODUCED
baseline_plus_full_online_audit,3,1536.2638,1042.52734375,REPRODUCED
baseline_plus_full_online_audit,4,1451.2413,1043.115234375,REPRODUCED
baseline_plus_full_online_audit,5,1451.5537,1043.052734375,REPRODUCED
baseline_plus_full_online_audit,6,1441.8745,1040.7841796875,REPRODUCED
baseline_plus_full_online_audit,7,1422.7863,1047.2529296875,REPRODUCED
baseline_plus_full_online_audit,8,1441.6399,1041.1279296875,REPRODUCED
baseline_plus_full_online_audit,9,1504.2061,1037.2509765625,REPRODUCED
