split,method_a,method_b,diff,p_value,ci95_low,ci95_high,evidence_status,source_file,source_commit,source_sha256,local_rerun
formal_train,D0,B0,0.0636,0.0002,0.0445,0.0845,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
formal_train,D1,B0,0.0457,0.0002,0.029,0.0639,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
formal_train,D2,B0,-0.0061,0.49975,-0.0248,0.0095,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
formal_train,D3,B0,-0.0017,0.887911,-0.0207,0.0139,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
internal_blind,D0,B0,0.0637,0.0002,0.0418,0.088,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
internal_blind,D1,B0,0.0354,0.0002,0.0184,0.0549,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
internal_blind,D2,B0,0.01,0.154385,-0.0036,0.0243,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
internal_blind,D3,B0,0.0033,0.671533,-0.0125,0.0192,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
cmedqa2_external,D0,B0,0.0229,0.0016,0.007,0.0434,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
cmedqa2_external,D1,B0,0.0205,0.004,0.0053,0.0411,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
cmedqa2_external,D2,B0,0.0135,0.108589,-0.0018,0.0335,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
cmedqa2_external,D3,B0,0.01,0.326367,-0.007,0.0311,VERIFIED_FROM_RELEASE,paper_results/manifests/significance.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,false
