result_id,split,condition,metric,n,value,source_file,status
cmedqa2_external_b0,cmedqa2_external,b0,DemandCov@5,142,0.9630281690140845,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
cmedqa2_external_b0,cmedqa2_external,b0,NDCG@10,142,0.516580224354952,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
cmedqa2_external_d0,cmedqa2_external,d0,DemandCov@5,142,0.9859154929577465,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
cmedqa2_external_d0,cmedqa2_external,d0,NDCG@10,142,0.4848592838181505,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
cmedqa2_external_d1,cmedqa2_external,d1,DemandCov@5,142,0.9835680751173709,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
cmedqa2_external_d1,cmedqa2_external,d1,NDCG@10,142,0.49607464596440715,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
cmedqa2_external_d2,cmedqa2_external,d2,DemandCov@5,142,0.976525821596244,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
cmedqa2_external_d2,cmedqa2_external,d2,NDCG@10,142,0.507411937032788,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
cmedqa2_external_d3,cmedqa2_external,d3,DemandCov@5,142,0.9730046948356806,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
cmedqa2_external_d3,cmedqa2_external,d3,NDCG@10,142,0.495437213703779,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_b0,formal_train,b0,DemandCov@5,200,0.87625,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_b0,formal_train,b0,NDCG@10,200,0.6412953739285708,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_d0,formal_train,d0,DemandCov@5,200,0.9398333333333333,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_d0,formal_train,d0,NDCG@10,200,0.601176050625174,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_d1,formal_train,d1,DemandCov@5,200,0.9219166666666666,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_d1,formal_train,d1,NDCG@10,200,0.6064899280950251,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_d2,formal_train,d2,DemandCov@5,200,0.8701666666666666,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_d2,formal_train,d2,NDCG@10,200,0.6319405114675472,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_d3,formal_train,d3,DemandCov@5,200,0.8745,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
formal_train_d3,formal_train,d3,NDCG@10,200,0.6293016054029836,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_b0,internal_blind,b0,DemandCov@5,200,0.91825,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_b0,internal_blind,b0,NDCG@10,200,0.5338465872783622,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_d0,internal_blind,d0,DemandCov@5,200,0.9819166666666667,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_d0,internal_blind,d0,NDCG@10,200,0.4988143252263111,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_d1,internal_blind,d1,DemandCov@5,200,0.9536666666666666,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_d1,internal_blind,d1,NDCG@10,200,0.5094467786452282,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_d2,internal_blind,d2,DemandCov@5,200,0.92825,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_d2,internal_blind,d2,NDCG@10,200,0.5109220432465904,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_d3,internal_blind,d3,DemandCov@5,200,0.9215833333333333,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
internal_blind_d3,internal_blind,d3,NDCG@10,200,0.5074724685384393,PAPER_REPRODUCTION_REPORT.json,REPRODUCED_IN_RELEASE_REPORT
