split,method,k,n_qid,demand_cov_at_k,ndcg_at_k,official_ndcg_10,unique_demand_count,mean_gold_relevance,mean_reranker_score,mean_pairwise_similarity,redundancy,full_query_coverage_rate,risk_demand_coverage_rate,risk_qid_count,evidence_status,source_file,source_commit,source_sha256,local_rerun
formal_train,B0,3,200,0.81141667,0.89783897,0.46898218,2.30000000,1.77000000,0.97276561,0.25045222,0.58316667,0.57500000,0.71698113,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,B0,5,200,0.87625000,0.89977570,0.64129537,2.45500000,1.75200000,0.95559421,0.21481552,0.58265000,0.67000000,0.77358491,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,B0,7,200,0.91133333,0.90482654,0.77974031,2.56500000,1.73000000,0.93150649,0.19853779,0.56877778,0.75000000,0.83018868,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D0,3,200,0.93983333,0.83731329,0.44559642,2.65500000,1.57333333,0.94586623,0.18307042,0.35777778,0.82500000,0.87735849,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D0,5,200,0.93983333,0.84198448,0.60117605,2.65500000,1.59200000,0.93702655,0.18556089,0.44148333,0.82500000,0.87735849,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D0,7,200,0.94108333,0.86135759,0.74186153,2.66000000,1.62714286,0.91847966,0.18544438,0.49132540,0.83000000,0.88679245,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D1,3,200,0.90441667,0.84864706,0.44996037,2.54000000,1.60333333,0.95444857,0.19307360,0.39605556,0.73000000,0.80188679,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D1,5,200,0.92191667,0.84981654,0.60648993,2.59000000,1.60800000,0.93980241,0.19097753,0.46295000,0.77000000,0.83018868,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D1,7,200,0.93050000,0.86261691,0.74264455,2.62500000,1.62428571,0.91890303,0.18468757,0.49860317,0.79500000,0.84905660,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D2,3,200,0.82566667,0.88993380,0.46473216,2.34000000,1.74666667,0.95617956,0.21292817,0.55655556,0.59000000,0.74528302,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D2,5,200,0.87016667,0.88849010,0.63194051,2.45500000,1.72400000,0.93790117,0.19646365,0.55044167,0.66000000,0.79245283,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D2,7,200,0.89783333,0.89106546,0.76665776,2.54000000,1.69857143,0.91659988,0.18808582,0.53988095,0.73000000,0.82075472,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D3_TFIDF,3,200,0.82741667,0.88983793,0.46368079,2.33500000,1.74666667,0.94747085,0.21420628,0.56027778,0.59000000,0.73584906,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D3_TFIDF,5,200,0.87450000,0.88610616,0.62930161,2.47000000,1.72000000,0.93613826,0.20032987,0.54776667,0.67000000,0.79245283,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,D3_TFIDF,7,200,0.90158333,0.89291300,0.76840068,2.54000000,1.70428571,0.91704275,0.19029093,0.54250000,0.73000000,0.82075472,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,MMR,3,200,0.83025000,0.88901217,0.46473174,2.34500000,1.74666667,0.96193732,0.10144442,0.52052778,0.60500000,0.70754717,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,MMR,5,200,0.87675000,0.88469032,0.62938052,2.47500000,1.72000000,0.94300213,0.13438561,0.52783333,0.68000000,0.76415094,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
formal_train,MMR,7,200,0.92158333,0.89616014,0.77214888,2.60000000,1.71428571,0.92137263,0.15633298,0.53666270,0.77000000,0.83962264,106,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,B0,3,200,0.87150000,0.66350203,0.39909441,3.70000000,1.03500000,0.94514050,0.23658162,0.51538889,0.70500000,0.96296296,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,B0,5,200,0.91825000,0.69112824,0.53384659,4.06500000,1.02700000,0.90915489,0.19887160,0.50845833,0.80000000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,B0,7,200,0.93191667,0.71610912,0.63808714,4.27000000,1.00714286,0.87360165,0.18340854,0.50898413,0.83000000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D0,3,200,0.98025000,0.63287144,0.37742344,4.07500000,0.98833333,0.91657836,0.20882744,0.41350000,0.93500000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D0,5,200,0.98191667,0.65172854,0.49881433,4.33500000,0.97300000,0.89215687,0.18651709,0.45142500,0.94000000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D0,7,200,0.98358333,0.68194103,0.60562402,4.49000000,0.97428571,0.86074236,0.17893024,0.47689683,0.94500000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D1,3,200,0.93766667,0.64030251,0.38337091,4.13000000,0.98833333,0.91203584,0.19221423,0.40738889,0.84000000,0.96296296,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D1,5,200,0.95366667,0.66288648,0.50944678,4.37000000,0.97900000,0.89140284,0.18758094,0.45240833,0.88000000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D1,7,200,0.96483333,0.69065508,0.61445639,4.50000000,0.97571429,0.86037136,0.17579734,0.47465476,0.90500000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
internal_blind,D2,3,200,0.87416667,0.65228293,0.38943426,3.70000000,1.00333333,0.92181151,0.20910633,0.49733333,0.71500000,0.96296296,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
