result_id,experiment_family,split,method,metric,value,sample_size,status,source_release,source_commit,source_file,source_sha256,verification_method,local_rerun,notes
b0_d3.cmedqa2_external.B0.dc,b0_d3,cmedqa2_external,B0,dc,0.9630281690140845,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.cmedqa2_external.B0.ndcg,b0_d3,cmedqa2_external,B0,ndcg,0.516580224354952,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.cmedqa2_external.D0.dc,b0_d3,cmedqa2_external,D0,dc,0.9859154929577465,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.cmedqa2_external.D0.ndcg,b0_d3,cmedqa2_external,D0,ndcg,0.4848592838181505,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.cmedqa2_external.D1.dc,b0_d3,cmedqa2_external,D1,dc,0.9835680751173709,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.cmedqa2_external.D1.ndcg,b0_d3,cmedqa2_external,D1,ndcg,0.49607464596440715,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.cmedqa2_external.D2.dc,b0_d3,cmedqa2_external,D2,dc,0.976525821596244,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.cmedqa2_external.D2.ndcg,b0_d3,cmedqa2_external,D2,ndcg,0.507411937032788,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.cmedqa2_external.D3.dc,b0_d3,cmedqa2_external,D3,dc,0.9730046948356806,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.cmedqa2_external.D3.ndcg,b0_d3,cmedqa2_external,D3,ndcg,0.495437213703779,142,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.B0.dc,b0_d3,formal_train,B0,dc,0.87625,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.B0.ndcg,b0_d3,formal_train,B0,ndcg,0.6412953739285708,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.D0.dc,b0_d3,formal_train,D0,dc,0.9398333333333333,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.D0.ndcg,b0_d3,formal_train,D0,ndcg,0.601176050625174,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.D1.dc,b0_d3,formal_train,D1,dc,0.9219166666666666,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.D1.ndcg,b0_d3,formal_train,D1,ndcg,0.6064899280950251,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.D2.dc,b0_d3,formal_train,D2,dc,0.8701666666666666,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.D2.ndcg,b0_d3,formal_train,D2,ndcg,0.6319405114675472,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.D3.dc,b0_d3,formal_train,D3,dc,0.8745,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.formal_train.D3.ndcg,b0_d3,formal_train,D3,ndcg,0.6293016054029836,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
b0_d3.internal_blind.B0.dc,b0_d3,internal_blind,B0,dc,0.91825,200,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,PAPER_REPRODUCTION_REPORT.json,2936269b3556bb5b26eac36163e30ff71928f7380924d533b6b404fac2bfcbc5,sha256_schema_row_count,false,rounding fields retained
