case_id,family,pattern_id,module,field,source_type,sink,file,line,rate,seed,injected_qids,injected_candidates,injected_features,fallback_triggers,hard_clean,clean_type,source_calls_gt0,sink_calls_gt0,test_only
c_05af913055d545c4,Leak-F,F1,feature_matrix,aux_41,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7000,2,60,2,0,False,leak,True,True,True
c_63b58ebcb32d4f86,Leak-F,F1,feature_matrix,aux_42,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7001,2,60,2,0,False,leak,True,True,True
c_b3e84a6aa8c1404c,Leak-F,F1,feature_matrix,aux_43,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7002,2,60,2,0,False,leak,True,True,True
c_20410dc3c4164ab5,Leak-F,F2,feature_matrix,aux_45,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7003,2,60,2,0,False,leak,True,True,True
c_fae80a5b0eb244b2,Leak-F,F2,feature_matrix,aux_46,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7004,2,60,2,0,False,leak,True,True,True
c_26e82c8b21f2475b,Leak-F,F2,feature_matrix,aux_47,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7005,2,60,2,0,False,leak,True,True,True
c_b507d73eb8c6455d,Leak-F,F3,feature_matrix,aux_49,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7006,2,60,2,0,False,leak,True,True,True
c_5fc080834c9940a4,Leak-F,F3,feature_matrix,aux_50,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7007,2,60,2,0,False,leak,True,True,True
c_be7f718673994539,Leak-F,F3,feature_matrix,aux_51,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7008,2,60,2,0,False,leak,True,True,True
c_b5f8690113c549f1,Leak-F,F4,cache_layer,aux_53,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7009,2,60,2,0,False,leak,True,True,True
c_be9ad6022c024bdf,Leak-F,F4,cache_layer,aux_54,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7010,2,60,2,0,False,leak,True,True,True
c_0d4b266a1ba64563,Leak-F,F4,cache_layer,aux_55,TEST_ONLY_PRIVATE_SOURCE,feature_matrix,adapter.py,74,1.0,7011,2,60,2,0,False,leak,True,True,True
c_41f4494adbd442ee,Leak-M,M1,candidate_metadata,aux_11,TEST_ONLY_PRIVATE_SOURCE,candidate_scoring,adapter.py,74,1.0,7012,2,12,0,0,False,leak,True,True,True
c_f68db75358be43d1,Leak-M,M1,candidate_metadata,aux_12,TEST_ONLY_PRIVATE_SOURCE,candidate_scoring,adapter.py,74,1.0,7013,2,12,0,0,False,leak,True,True,True
c_cb57238e779a4852,Leak-M,M1,candidate_metadata,aux_13,TEST_ONLY_PRIVATE_SOURCE,candidate_scoring,adapter.py,74,1.0,7014,2,12,0,0,False,leak,True,True,True
c_aecd8f5717c74e89,Leak-M,M2,candidate_metadata,aux_17,TEST_ONLY_PRIVATE_SOURCE,candidate_scoring,adapter.py,75,1.0,7015,2,12,0,0,False,leak,True,True,True
c_dad2a6901e184116,Leak-M,M2,candidate_metadata,aux_18,TEST_ONLY_PRIVATE_SOURCE,candidate_scoring,adapter.py,75,1.0,7016,2,12,0,0,False,leak,True,True,True
c_b3a3b48fcf504558,Leak-M,M2,candidate_metadata,aux_19,TEST_ONLY_PRIVATE_SOURCE,candidate_scoring,adapter.py,75,1.0,7017,2,12,0,0,False,leak,True,True,True
c_397f832f810b4f3d,Leak-M,M3,cache_layer,aux_23,TEST_ONLY_PRIVATE_SOURCE,candidate_scoring,adapter.py,75,1.0,7018,2,12,0,0,False,leak,True,True,True
