case_id,condition,mean_ms,median_ms,p95_ms,abs_increment_ms,rel_increment
c_0187a63e50994fb6,baseline_selection,50.2905,51.172,86.8681,0.0,0.0
c_0187a63e50994fb6,baseline_plus_runtime_monitor,46.1876,45.9626,51.7466,-4.1028,-0.0816
c_0187a63e50994fb6,baseline_plus_schema,57.1522,41.839,195.8662,6.8617,0.1364
c_0187a63e50994fb6,baseline_plus_invariance,117.0544,84.9541,256.396,66.7639,1.3276
c_0187a63e50994fb6,baseline_plus_composite_audit,179.527,132.2615,328.0745,129.2366,2.5698
c_055eb84c838e4ce4,baseline_selection,67.8526,34.8808,222.3618,0.0,0.0
c_055eb84c838e4ce4,baseline_plus_runtime_monitor,109.0628,95.9289,286.5775,41.2102,0.6073
c_055eb84c838e4ce4,baseline_plus_schema,125.313,101.399,333.454,57.4604,0.8468
c_055eb84c838e4ce4,baseline_plus_invariance,213.5178,188.4575,437.0992,145.6652,2.1468
c_055eb84c838e4ce4,baseline_plus_composite_audit,378.9205,310.7367,590.9448,311.0679,4.5845
c_05af913055d545c4,baseline_selection,95.2081,68.8837,345.8709,0.0,0.0
c_05af913055d545c4,baseline_plus_runtime_monitor,162.3036,126.937,487.8695,67.0955,0.7047
c_05af913055d545c4,baseline_plus_schema,196.5499,128.6255,500.5496,101.3418,1.0644
c_05af913055d545c4,baseline_plus_invariance,265.3096,226.4964,453.3245,170.1015,1.7866
c_05af913055d545c4,baseline_plus_composite_audit,389.1507,340.0046,671.3231,293.9426,3.0874
c_0685cff7c83149b5,baseline_selection,100.7806,71.6043,363.2665,0.0,0.0
c_0685cff7c83149b5,baseline_plus_runtime_monitor,110.8924,85.3435,345.9793,10.1118,0.1003
c_0685cff7c83149b5,baseline_plus_schema,80.9251,79.9239,97.0939,-19.8555,-0.197
c_0685cff7c83149b5,baseline_plus_invariance,217.2631,158.5961,444.1914,116.4824,1.1558
c_0685cff7c83149b5,baseline_plus_composite_audit,311.3511,247.4139,526.0994,210.5705,2.0894
c_0c83fb8f6fc140fd,baseline_selection,80.7386,57.6465,270.2516,0.0,0.0
