case_id,kind,channel,detector,detected
bound_env_1,leak,env,keyword_static_baseline,True
bound_env_1,leak,env,ast_static_dataflow,False
bound_env_1,leak,env,schema_guard,False
bound_env_1,leak,env,runtime_taint,False
bound_env_1,leak,env,invariance,False
bound_env_1,leak,env,full_audit,False
bound_env_1,leak,env,invariance_class,False
bound_env_2,leak,env,keyword_static_baseline,True
bound_env_2,leak,env,ast_static_dataflow,False
bound_env_2,leak,env,schema_guard,False
bound_env_2,leak,env,runtime_taint,False
bound_env_2,leak,env,invariance,False
bound_env_2,leak,env,full_audit,False
bound_env_2,leak,env,invariance_class,False
bound_env_3,leak,env,keyword_static_baseline,True
bound_env_3,leak,env,ast_static_dataflow,False
bound_env_3,leak,env,schema_guard,False
bound_env_3,leak,env,runtime_taint,False
bound_env_3,leak,env,invariance,False
bound_env_3,leak,env,full_audit,False
bound_env_3,leak,env,invariance_class,False
bound_file_1,leak,sidefile,keyword_static_baseline,True
bound_file_1,leak,sidefile,ast_static_dataflow,False
bound_file_1,leak,sidefile,schema_guard,False
bound_file_1,leak,sidefile,runtime_taint,False
bound_file_1,leak,sidefile,invariance,False
bound_file_1,leak,sidefile,full_audit,False
bound_file_1,leak,sidefile,invariance_class,False
bound_file_2,leak,sidefile,keyword_static_baseline,True
bound_file_2,leak,sidefile,ast_static_dataflow,False
bound_file_2,leak,sidefile,schema_guard,False
bound_file_2,leak,sidefile,runtime_taint,False
bound_file_2,leak,sidefile,invariance,False
bound_file_2,leak,sidefile,full_audit,False
bound_file_2,leak,sidefile,invariance_class,False
bound_file_3,leak,sidefile,keyword_static_baseline,True
bound_file_3,leak,sidefile,ast_static_dataflow,False
bound_file_3,leak,sidefile,schema_guard,False
bound_file_3,leak,sidefile,runtime_taint,False
bound_file_3,leak,sidefile,invariance,False
bound_file_3,leak,sidefile,full_audit,False
bound_file_3,leak,sidefile,invariance_class,False
bound_clean_1,clean,clean,keyword_static_baseline,True
bound_clean_1,clean,clean,ast_static_dataflow,False
bound_clean_1,clean,clean,schema_guard,False
bound_clean_1,clean,clean,runtime_taint,False
bound_clean_1,clean,clean,invariance,False
bound_clean_1,clean,clean,full_audit,False
bound_clean_1,clean,clean,invariance_class,False
bound_clean_2,clean,clean,keyword_static_baseline,True
bound_clean_2,clean,clean,ast_static_dataflow,False
bound_clean_2,clean,clean,schema_guard,False
bound_clean_2,clean,clean,runtime_taint,False
bound_clean_2,clean,clean,invariance,False
bound_clean_2,clean,clean,full_audit,False
bound_clean_2,clean,clean,invariance_class,False
