case_id,kind,gate,detector,detected
latent_dormant_1,leak,False,keyword_static_baseline,True
latent_dormant_1,leak,False,ast_static_dataflow,True
latent_dormant_1,leak,False,schema_guard,False
latent_dormant_1,leak,False,runtime_taint,False
latent_dormant_1,leak,False,invariance,False
latent_dormant_1,leak,False,full_audit,True
latent_dormant_1,leak,False,invariance_class,False
latent_dormant_2,leak,False,keyword_static_baseline,True
latent_dormant_2,leak,False,ast_static_dataflow,True
latent_dormant_2,leak,False,schema_guard,False
latent_dormant_2,leak,False,runtime_taint,False
latent_dormant_2,leak,False,invariance,False
latent_dormant_2,leak,False,full_audit,True
latent_dormant_2,leak,False,invariance_class,False
latent_dormant_3,leak,False,keyword_static_baseline,True
latent_dormant_3,leak,False,ast_static_dataflow,True
latent_dormant_3,leak,False,schema_guard,False
latent_dormant_3,leak,False,runtime_taint,False
latent_dormant_3,leak,False,invariance,False
latent_dormant_3,leak,False,full_audit,True
latent_dormant_3,leak,False,invariance_class,False
latent_active_1,leak,True,keyword_static_baseline,True
latent_active_1,leak,True,ast_static_dataflow,True
latent_active_1,leak,True,schema_guard,False
latent_active_1,leak,True,runtime_taint,True
latent_active_1,leak,True,invariance,False
latent_active_1,leak,True,full_audit,True
latent_active_1,leak,True,invariance_class,False
latent_active_2,leak,True,keyword_static_baseline,True
latent_active_2,leak,True,ast_static_dataflow,True
latent_active_2,leak,True,schema_guard,False
latent_active_2,leak,True,runtime_taint,True
latent_active_2,leak,True,invariance,False
latent_active_2,leak,True,full_audit,True
latent_active_2,leak,True,invariance_class,False
latent_active_3,leak,True,keyword_static_baseline,True
latent_active_3,leak,True,ast_static_dataflow,True
latent_active_3,leak,True,schema_guard,False
latent_active_3,leak,True,runtime_taint,True
latent_active_3,leak,True,invariance,False
latent_active_3,leak,True,full_audit,True
latent_active_3,leak,True,invariance_class,False
latent_clean_1,clean,False,keyword_static_baseline,True
latent_clean_1,clean,False,ast_static_dataflow,False
latent_clean_1,clean,False,schema_guard,False
latent_clean_1,clean,False,runtime_taint,False
latent_clean_1,clean,False,invariance,False
latent_clean_1,clean,False,full_audit,False
latent_clean_1,clean,False,invariance_class,False
latent_clean_2,clean,False,keyword_static_baseline,True
latent_clean_2,clean,False,ast_static_dataflow,False
latent_clean_2,clean,False,schema_guard,False
latent_clean_2,clean,False,runtime_taint,False
latent_clean_2,clean,False,invariance,False
latent_clean_2,clean,False,full_audit,False
latent_clean_2,clean,False,invariance_class,False
latent_clean_3,clean,False,keyword_static_baseline,True
latent_clean_3,clean,False,ast_static_dataflow,False
latent_clean_3,clean,False,schema_guard,False
latent_clean_3,clean,False,runtime_taint,False
latent_clean_3,clean,False,invariance,False
latent_clean_3,clean,False,full_audit,False
latent_clean_3,clean,False,invariance_class,False
