group,detector,detected
dormant,keyword_static_baseline,3/3
dormant,ast_static_dataflow,3/3
dormant,schema_guard,0/3
dormant,runtime_taint,0/3
dormant,invariance,0/3
dormant,full_audit,3/3
active,keyword_static_baseline,3/3
active,ast_static_dataflow,3/3
active,schema_guard,0/3
active,runtime_taint,3/3
active,invariance,0/3
active,full_audit,3/3
clean,keyword_static_baseline,3/3
clean,ast_static_dataflow,0/3
clean,schema_guard,0/3
clean,runtime_taint,0/3
clean,invariance,0/3
clean,full_audit,0/3
