case_id,family,pattern_id,frozen_class,recomputed_class_k5,repro_ok,n_qids,n_docs,frac_score_changed_docs,mean_abs_score_delta,max_abs_score_delta,mean_kendall_tau,min_kendall_tau,set_changed_qids_K3,order_changed_qids_K3,replaced_docs_K3,set_changed_qids_K5,order_changed_qids_K5,replaced_docs_K5,set_changed_qids_K7,order_changed_qids_K7,replaced_docs_K7
c_016e57250c5645a7,Leak-R,R3,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.016930022573363433,0.016930022573363433,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_0337ee8e95fc4c30,Leak-M,M1,BEHAVIORAL_LEAK,BEHAVIORAL_LEAK,True,60,886,0.016930022573363433,0.055304740406320545,5.0,0.9895238095238095,0.6952380952380952,3,3,4,2,3,4,2,3,3
c_0fb926f7378948c2,Leak-R,R2,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.06772009029345373,0.08465011286681716,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_1c888b5039314b44,Leak-F,F3,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.11851015801354402,0.025395033860045147,0.5,1.0,1.0,0,0,0,0,0,0,0,0,0
c_217dbdab703b4b70,Leak-F,F4,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.016930022573363433,0.016930022573363433,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_2b47837694ae4f1b,Leak-M,M1,BEHAVIORAL_LEAK,BEHAVIORAL_LEAK,True,60,886,0.0056433408577878106,0.007900677200902935,2.0,0.9993650793650793,0.9619047619047619,1,1,1,0,1,0,0,1,0
c_2f3efd7aa03049d7,Leak-R,R4,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.016930022573363433,0.016930022573363433,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_3095d6195ad44fdc,Leak-M,M2,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.001128668171557562,0.001128668171557562,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_387d494f03c1487e,Leak-F,F2,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.11851015801354402,0.11851015801354402,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_44e48d8e577c47fb,Leak-F,F3,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.06772009029345373,0.008465011286681716,0.2,1.0,1.0,0,0,0,0,0,0,0,0,0
c_5098e6020128428a,Leak-M,M1,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.001128668171557562,0.001128668171557562,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_54adb8be25374740,Leak-F,F1,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.06772009029345373,0.08465011286681716,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_5a06debb26054c51,Leak-M,M2,BEHAVIORAL_LEAK,BEHAVIORAL_LEAK,True,60,886,0.016930022573363433,0.055304740406320545,5.0,0.9895238095238095,0.6952380952380952,3,3,4,2,3,4,2,3,3
c_61c199064a5a4d90,Leak-F,F4,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.06772009029345373,0.08465011286681716,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_6288c8a5d7e54564,Leak-R,R4,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.06772009029345373,0.06772009029345373,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_645d338c354f482c,Leak-M,M4,BEHAVIORAL_LEAK,BEHAVIORAL_LEAK,True,60,886,0.016930022573363433,0.055304740406320545,5.0,0.9895238095238095,0.6952380952380952,3,3,4,2,3,4,2,3,3
c_678a3a0d749342e4,Leak-R,R2,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.016930022573363433,0.016930022573363433,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_69e21dea9c9142c8,Leak-M,M4,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.001128668171557562,0.001128668171557562,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_6cffbc17a06e4af7,Leak-F,F2,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.06772009029345373,0.06772009029345373,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_773a01d0b3bf4a18,Leak-F,F1,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.016930022573363433,0.016930022573363433,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_7ac276a881c046bd,Leak-R,R3,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.11851015801354402,0.25395033860045146,5.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_7dab3a7aae364b29,Leak-F,F4,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.11851015801354402,0.25395033860045146,5.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_7dfad22b84ed4dac,Leak-F,F1,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.11851015801354402,0.25395033860045146,5.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_865df1de3d2646b7,Leak-R,R1,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.06772009029345373,0.08465011286681716,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_86cdbb6429474b0c,Leak-F,F2,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.016930022573363433,0.016930022573363433,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
c_95af74b6a1024214,Leak-M,M4,BEHAVIORAL_LEAK,BEHAVIORAL_LEAK,True,60,886,0.0056433408577878106,0.007900677200902935,2.0,0.9993650793650793,0.9619047619047619,1,1,1,0,1,0,0,1,0
c_acf3a2ed291e46c6,Leak-F,F3,ACCESS_LEAK,ACCESS_LEAK,True,60,886,0.016930022573363433,0.0016930022573363437,0.10000000000000009,1.0,1.0,0,0,0,0,0,0,0,0,0
c_b4bd4dda993d4582,Leak-M,M3,BEHAVIORAL_LEAK,BEHAVIORAL_LEAK,True,60,886,0.016930022573363433,0.055304740406320545,5.0,0.9895238095238095,0.6952380952380952,3,3,4,2,3,4,2,3,3
